video,frame,track_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_conf,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
Moguls_Männer_Final_1 - 11,0,1,517.11,210.56,607.2,373.29,0.8708,562.68,230.55,0.9723,565.53,227.62,0.9174,559.08,227.44,0.9394,570.69,227.57,0.7135,554.32,227.69,0.7907,580.78,242.71,0.9911,550.59,245.12,0.9941,599.48,250.77,0.9547,539.68,264.34,0.9754,599.63,248.74,0.9226,538.39,278.71,0.9509,572.62,289.93,0.995,553.87,289.04,0.9959,564.33,327.48,0.9864,545.43,327.3,0.9897,545.56,355.47,0.9533,529.64,357.45,0.9611
Moguls_Männer_Final_1 - 11,1,1,522.15,215.12,607.83,369.84,0.7685,559.58,237.27,0.9581,563.03,234.17,0.92,556.96,233.93,0.8894,570.75,233.48,0.7887,555.12,233.16,0.6516,579.44,247.03,0.9906,552.66,247.91,0.9871,594.9,261.07,0.9649,541.78,267.39,0.9494,600.57,263.87,0.9395,537.81,286.0,0.9163,571.34,290.89,0.9927,554.08,290.26,0.9914,566.01,324.71,0.9728,544.6,324.97,0.9702,555.44,352.31,0.8944,533.44,353.54,0.8901
Moguls_Männer_Final_1 - 11,2,1,525.36,221.33,603.88,362.86,0.8282,563.16,241.85,0.9714,566.59,238.81,0.9589,559.98,238.71,0.9415,572.42,239.41,0.7978,555.75,239.25,0.672,579.61,253.74,0.9934,550.7,254.04,0.9952,591.37,270.18,0.9674,540.55,273.04,0.9676,593.8,278.47,0.9491,530.09,287.95,0.9432,570.43,291.07,0.9925,553.08,290.41,0.9935,564.64,317.38,0.9732,550.63,316.49,0.9721,558.52,343.46,0.9172,550.31,342.48,0.9157
Moguls_Männer_Final_1 - 11,3,1,524.48,225.1,600.07,360.8,0.8075,565.62,245.15,0.948,568.77,242.36,0.8695,563.04,242.03,0.8797,573.8,242.98,0.6786,559.34,242.1,0.6893,580.98,259.96,0.9847,553.62,258.96,0.9872,595.6,277.44,0.9445,539.79,274.34,0.9545,588.62,283.63,0.9147,528.85,284.63,0.9275,574.23,304.48,0.98,558.16,303.85,0.9813,570.53,336.78,0.9204,561.47,338.29,0.9285,563.49,356.63,0.7319,562.31,360.61,0.7496
Moguls_Männer_Final_1 - 11,4,1,523.98,225.06,600.36,361.73,0.715,565.93,242.82,0.9361,569.1,239.78,0.8684,563.47,239.33,0.8498,573.8,241.07,0.7093,560.44,239.75,0.6477,580.33,259.64,0.9819,556.94,259.12,0.9801,592.71,278.6,0.9366,547.02,274.96,0.9241,586.91,279.85,0.8963,531.19,269.65,0.8879,579.95,309.46,0.9682,565.77,309.16,0.9659,578.21,349.94,0.838,567.26,349.39,0.8338,578.3,366.53,0.5068,572.27,365.38,0.5082
Moguls_Männer_Final_1 - 11,5,1,527.56,220.96,612.24,374.44,0.4765,571.53,239.82,0.9662,574.63,236.68,0.9103,568.22,236.41,0.9258,578.97,236.62,0.6883,561.82,235.66,0.7506,586.1,254.24,0.9877,554.77,251.81,0.9864,598.17,278.29,0.9448,545.22,268.6,0.9403,592.67,282.44,0.9018,541.87,266.88,0.9035,584.51,303.25,0.9816,564.26,302.86,0.9809,586.67,340.79,0.9348,568.34,340.99,0.9341,589.61,365.06,0.7838,574.7,365.57,0.7835
Moguls_Männer_Final_1 - 11,6,1,539.63,217.7,610.77,347.06,0.4346,573.15,235.31,0.9525,575.71,232.13,0.9113,569.84,232.28,0.9256,579.6,231.99,0.6393,564.03,232.09,0.738,586.1,246.45,0.9874,557.05,246.35,0.9917,596.15,268.48,0.9137,551.04,267.58,0.9402,599.3,281.48,0.8517,552.03,276.72,0.8798,581.51,283.59,0.9718,563.68,283.81,0.9772,583.89,303.14,0.8585,568.07,303.22,0.8759,582.91,324.75,0.6709,574.73,324.85,0.6973
Moguls_Männer_Final_1 - 11,7,1,537.9,214.33,611.17,347.62,0.4611,574.56,234.53,0.9732,578.19,231.76,0.9328,571.59,231.21,0.9423,583.9,231.88,0.7615,566.54,230.52,0.7861,590.2,247.19,0.99,559.19,244.97,0.9909,601.1,267.81,0.9519,549.16,262.25,0.9589,602.94,279.34,0.9131,545.94,267.95,0.9257,585.3,284.19,0.9855,565.11,283.21,0.9862,590.77,315.81,0.9482,566.46,312.56,0.9522,593.88,341.21,0.8283,571.34,337.18,0.8377
Moguls_Männer_Final_1 - 11,8,1,540.75,214.79,621.68,363.85,0.6329,579.46,235.87,0.9719,582.9,233.01,0.9266,576.49,232.53,0.9289,587.38,233.63,0.7568,571.15,232.44,0.7696,592.24,249.73,0.993,563.53,248.9,0.9927,604.04,267.55,0.9685,556.21,267.27,0.9646,609.87,276.31,0.9419,556.96,274.88,0.9382,586.68,290.31,0.9935,567.97,290.08,0.9929,593.72,323.36,0.9818,572.92,320.32,0.9816,597.67,350.75,0.9384,578.44,345.96,0.9404
Moguls_Männer_Final_1 - 11,9,1,549.09,218.58,619.63,346.41,0.6473,581.01,239.7,0.9515,583.96,237.04,0.9224,578.32,237.02,0.9218,588.52,237.73,0.707,574.27,237.4,0.711,594.33,250.65,0.9911,567.86,249.47,0.9943,605.24,266.87,0.9474,558.67,262.53,0.9647,615.21,279.28,0.9091,556.89,267.82,0.9289,587.55,283.52,0.9888,570.96,282.89,0.9914,587.84,304.6,0.9457,568.76,303.9,0.9531,586.03,325.34,0.8601,568.45,324.57,0.8733
Moguls_Männer_Final_1 - 11,10,1,551.32,222.38,618.65,343.8,0.295,580.47,244.02,0.9553,583.81,241.1,0.9335,577.52,240.95,0.9195,589.22,241.04,0.748,573.63,240.46,0.6714,596.06,253.76,0.9916,568.13,251.77,0.9942,605.79,269.63,0.9546,558.5,263.56,0.9646,612.27,278.11,0.9289,557.88,266.46,0.938,588.76,284.85,0.9925,571.54,283.69,0.9939,588.83,302.34,0.9801,570.38,300.87,0.9816,584.68,322.26,0.9541,569.5,320.17,0.9565
Moguls_Männer_Final_1 - 11,11,1,553.75,221.75,624.69,347.37,0.4618,583.54,244.06,0.965,585.88,241.24,0.9056,580.49,241.45,0.9281,589.42,239.96,0.6924,574.27,240.37,0.7783,595.71,249.9,0.9901,568.26,251.89,0.9911,612.54,257.22,0.9572,558.05,264.45,0.9629,624.99,257.16,0.9264,553.69,268.58,0.9336,591.15,282.94,0.9923,574.13,283.11,0.9925,585.02,306.1,0.9812,566.13,303.92,0.9822,586.33,333.66,0.9437,569.31,328.98,0.946
Moguls_Männer_Final_1 - 11,12,1,555.47,219.59,623.98,337.6,0.3548,580.25,240.2,0.9581,582.72,237.61,0.9164,577.36,237.35,0.8906,587.97,236.07,0.7771,573.45,236.17,0.6617,596.86,244.53,0.992,568.36,247.25,0.9858,611.27,248.27,0.9713,557.13,260.93,0.9408,623.46,248.39,0.9435,551.98,269.01,0.904,591.84,277.74,0.992,573.91,277.31,0.9891,591.5,301.49,0.9766,568.35,294.73,0.9694,587.54,327.24,0.9252,565.5,315.2,0.9134
Moguls_Männer_Final_1 - 11,13,1,555.53,217.11,626.68,336.96,0.5966,580.8,238.26,0.966,583.2,235.41,0.9202,577.2,235.13,0.9276,587.55,233.84,0.7409,571.14,233.98,0.7675,595.33,242.38,0.9911,565.57,246.48,0.9904,610.67,245.59,0.9637,555.73,261.91,0.9602,624.17,246.24,0.936,553.43,274.53,0.9294,591.81,277.28,0.9927,572.92,277.96,0.9922,592.68,306.41,0.976,567.47,302.32,0.9752,583.93,331.5,0.9155,559.92,323.35,0.9147
Moguls_Männer_Final_1 - 11,14,1,552.31,216.61,626.83,340.69,0.6001,575.84,238.72,0.9562,578.62,235.82,0.9108,573.17,235.61,0.8708,584.87,234.31,0.7824,570.51,234.37,0.64,594.95,243.27,0.9931,566.9,247.7,0.9886,609.87,246.68,0.9761,556.59,266.13,0.9542,618.95,246.15,0.955,553.78,281.49,0.9269,590.48,280.81,0.9947,572.34,281.0,0.9928,588.87,309.81,0.9844,566.89,305.69,0.9811,578.85,335.9,0.9437,558.37,328.11,0.9396
Moguls_Männer_Final_1 - 11,15,1,540.83,217.45,629.38,367.47,0.7921,576.43,240.38,0.9568,578.75,237.48,0.8967,573.03,237.41,0.905,584.01,235.47,0.7134,568.88,236.09,0.7209,592.46,245.67,0.9898,566.99,249.56,0.9902,606.16,250.17,0.9576,557.73,267.41,0.9619,613.37,246.34,0.9237,553.85,282.87,0.9286,589.93,289.15,0.9956,573.98,289.38,0.9957,583.5,324.86,0.9894,566.83,323.39,0.9901,569.44,357.55,0.9653,554.77,355.93,0.967
Moguls_Männer_Final_1 - 11,16,1,531.55,221.12,621.12,375.39,0.7862,572.39,243.95,0.9515,575.54,240.99,0.8993,569.34,240.87,0.8918,583.03,240.46,0.7372,567.59,240.54,0.668,591.34,255.22,0.9851,567.71,255.1,0.9861,597.84,271.61,0.934,557.58,273.66,0.9448,596.06,280.25,0.8792,553.42,288.39,0.8954,586.82,298.4,0.9918,571.04,296.94,0.9923,580.66,332.87,0.9816,560.34,331.66,0.9837,566.11,361.9,0.9495,544.74,362.58,0.9537
Moguls_Männer_Final_1 - 11,17,1,537.41,227.15,620.82,370.75,0.8527,573.47,252.6,0.9657,576.73,249.52,0.9351,570.54,249.35,0.8971,584.36,247.75,0.8307,567.97,248.0,0.6441,593.67,260.04,0.9944,566.14,262.12,0.9897,609.27,273.03,0.9792,555.03,280.83,0.9559,610.97,277.9,0.9586,549.04,296.35,0.9258,588.57,298.79,0.9958,571.24,298.57,0.9944,583.96,330.05,0.9862,564.28,330.53,0.9823,573.49,353.44,0.9451,555.55,355.09,0.9363
Moguls_Männer_Final_1 - 11,18,1,538.86,234.02,618.94,371.22,0.8731,577.48,257.51,0.9653,580.12,254.5,0.9254,574.12,254.71,0.9147,585.14,253.98,0.7805,569.05,254.83,0.7194,593.65,266.47,0.992,565.23,269.46,0.9894,608.02,278.24,0.968,556.06,285.14,0.9528,611.61,285.85,0.9397,548.97,289.8,0.9207,591.28,302.31,0.9916,573.45,302.48,0.9902,585.71,332.19,0.9706,564.98,329.85,0.9662,583.89,355.34,0.892,564.99,350.03,0.8835
Moguls_Männer_Final_1 - 11,19,1,540.32,237.71,617.08,368.06,0.8567,573.36,257.59,0.9656,577.31,254.82,0.9498,571.09,254.56,0.8808,586.3,255.61,0.8767,570.0,255.41,0.5506,596.55,271.21,0.9941,566.84,270.44,0.9812,612.4,287.61,0.9801,554.32,282.69,0.915,606.91,294.67,0.9593,547.25,282.75,0.885,590.72,311.54,0.9903,571.27,310.56,0.983,594.77,338.91,0.9558,569.37,339.16,0.9279,594.61,357.96,0.8206,568.56,359.03,0.7655
Moguls_Männer_Final_1 - 11,20,1,547.21,236.9,623.03,368.34,0.6869,582.69,253.6,0.9587,586.02,251.0,0.9222,580.16,250.52,0.8849,591.66,251.51,0.7877,576.64,250.35,0.6232,598.68,267.39,0.9903,572.56,265.68,0.9794,612.3,287.06,0.9653,564.27,280.48,0.9122,605.94,287.06,0.9356,561.03,278.75,0.878,595.92,309.76,0.9823,579.1,309.35,0.9742,597.93,340.74,0.9297,581.25,342.51,0.904,598.15,359.26,0.7572,582.96,362.51,0.7153
Moguls_Männer_Final_1 - 11,21,1,551.06,234.31,627.03,368.97,0.7754,588.45,252.27,0.9585,591.18,249.02,0.9205,585.14,248.91,0.923,595.28,248.73,0.6756,579.2,248.3,0.6986,601.61,263.97,0.9911,572.61,264.17,0.9937,611.94,282.99,0.9556,565.81,283.96,0.9638,609.88,285.58,0.9307,567.32,287.08,0.9365,599.43,310.49,0.9894,581.33,311.08,0.9912,599.5,339.91,0.9498,585.81,340.46,0.9527,599.12,362.31,0.8225,589.69,362.66,0.8285
Moguls_Männer_Final_1 - 11,23,1,560.05,232.9,628.6,354.68,0.3751,597.3,254.13,0.9426,599.83,251.1,0.8737,594.27,250.95,0.9225,602.99,250.35,0.5129,587.47,249.42,0.7641,606.15,262.16,0.9836,577.66,260.55,0.9902,615.7,284.43,0.9038,570.02,278.42,0.9474,621.8,307.86,0.8366,570.17,290.39,0.8913,599.54,295.95,0.9671,581.09,296.04,0.9753,603.97,314.62,0.8309,583.51,315.17,0.8614,606.43,335.79,0.6202,587.93,336.97,0.6582
Moguls_Männer_Final_1 - 11,24,1,559.36,234.48,640.23,379.48,0.8305,595.14,256.17,0.9733,599.0,253.43,0.9269,592.44,253.19,0.9386,604.3,253.62,0.7496,587.51,252.48,0.7877,607.56,269.77,0.9927,579.28,266.71,0.9934,621.91,287.19,0.9651,570.13,282.25,0.9679,631.69,297.34,0.9373,571.0,299.45,0.9415,600.67,307.24,0.9945,582.8,306.72,0.9945,607.63,340.99,0.9866,589.29,338.55,0.9875,622.36,369.44,0.9607,604.1,366.71,0.9634
