video,frame,track_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_conf,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
Moguls_Männer_Final_1 - 22,0,1,618.05,260.33,708.0,401.16,0.8802,666.14,290.7,0.9434,669.03,287.1,0.8774,662.9,287.11,0.8524,675.86,282.74,0.7192,659.2,283.12,0.6294,685.08,292.22,0.991,656.07,292.8,0.9893,696.74,301.17,0.972,641.71,306.47,0.9655,698.48,303.56,0.9527,631.64,323.6,0.9437,676.45,332.33,0.9958,658.41,330.78,0.9954,666.73,362.26,0.9875,648.32,358.71,0.9871,653.95,384.67,0.9542,638.83,379.86,0.955
Moguls_Männer_Final_1 - 22,1,1,620.28,263.64,702.3,391.64,0.8485,664.67,297.96,0.9572,667.88,294.21,0.9142,661.23,294.24,0.8928,675.48,288.37,0.771,657.13,289.29,0.6516,684.44,295.23,0.9901,653.36,298.08,0.9872,697.61,306.71,0.9664,640.86,315.46,0.9529,699.01,311.1,0.9408,628.56,325.22,0.9222,676.61,330.91,0.991,657.08,330.53,0.9899,673.74,358.83,0.9705,652.48,355.95,0.9672,664.25,376.17,0.8983,648.29,372.31,0.892
Moguls_Männer_Final_1 - 22,2,1,623.1,266.88,699.22,384.68,0.8691,665.94,299.75,0.9539,669.27,296.12,0.8903,662.58,296.06,0.905,676.37,290.5,0.6863,657.88,290.91,0.7001,683.07,297.11,0.9839,653.59,298.52,0.9886,696.94,306.98,0.9468,637.17,308.97,0.9659,698.46,310.86,0.9222,623.72,307.57,0.9451,677.51,335.72,0.9883,658.57,335.95,0.9902,680.24,351.04,0.9663,658.92,352.45,0.9726,669.25,366.81,0.9033,654.79,370.3,0.9144
Moguls_Männer_Final_1 - 22,3,1,624.52,265.44,697.78,377.2,0.8506,669.2,293.99,0.9486,672.18,291.32,0.8803,666.33,290.77,0.8713,678.66,285.93,0.6782,661.68,285.11,0.6114,686.77,291.87,0.9882,655.1,288.96,0.986,701.14,305.01,0.9661,635.97,293.92,0.96,698.9,312.24,0.948,622.05,297.01,0.9441,681.1,326.68,0.9921,661.32,325.91,0.9916,689.52,335.54,0.9812,667.88,337.19,0.981,680.01,356.59,0.9514,665.05,362.22,0.9516
Moguls_Männer_Final_1 - 22,4,1,623.52,259.06,701.57,376.55,0.5587,674.46,284.9,0.9445,677.15,282.07,0.8606,671.47,281.79,0.8628,682.6,277.07,0.6275,665.58,276.71,0.6079,690.54,283.68,0.9872,657.82,282.01,0.9853,705.21,299.73,0.9658,638.97,291.1,0.9598,701.41,306.91,0.9477,624.97,294.99,0.9437,684.72,318.85,0.9913,664.03,318.63,0.9907,689.97,334.92,0.9764,666.43,338.03,0.9757,683.43,356.51,0.9312,663.67,363.42,0.9303
Moguls_Männer_Final_1 - 22,5,1,621.79,251.22,709.54,382.48,0.7286,678.21,271.95,0.3893,677.18,267.97,0.1945,677.54,268.47,0.1779,671.86,265.8,0.5342,682.14,266.66,0.5598,663.51,275.7,0.9793,691.08,280.11,0.9796,645.06,284.39,0.9545,710.58,298.02,0.9464,628.97,286.92,0.9054,704.36,302.63,0.9019,669.02,319.97,0.994,685.69,321.26,0.9936,669.07,345.19,0.9852,683.31,341.77,0.9849,669.77,371.45,0.9483,685.4,363.51,0.9504
Moguls_Männer_Final_1 - 22,6,1,625.48,244.3,713.37,374.81,0.5915,681.88,269.68,0.9347,685.11,266.45,0.8398,679.32,266.02,0.8667,690.45,263.32,0.5994,674.08,261.67,0.6851,695.48,273.72,0.9831,666.12,267.37,0.9866,709.86,291.2,0.9458,648.47,275.25,0.9613,708.59,294.27,0.9191,635.73,286.1,0.9399,685.71,304.24,0.9902,667.21,302.16,0.991,691.93,328.99,0.9735,672.19,329.76,0.9784,692.25,352.37,0.915,673.14,357.11,0.9277
Moguls_Männer_Final_1 - 22,7,1,629.32,238.49,720.44,374.41,0.7229,686.68,262.7,0.9561,689.52,260.21,0.8634,684.34,259.69,0.9116,693.14,257.82,0.6095,677.87,256.1,0.7669,696.11,268.62,0.9892,667.48,263.62,0.9923,708.18,284.16,0.9601,652.09,270.95,0.9743,711.41,291.5,0.9341,641.35,280.26,0.9541,687.11,301.82,0.9946,668.87,300.31,0.9953,692.92,330.32,0.9864,671.98,328.7,0.9887,700.81,354.75,0.958,679.44,354.67,0.9635
Moguls_Männer_Final_1 - 22,8,1,632.04,235.46,730.01,383.54,0.837,690.42,261.19,0.9593,693.3,257.98,0.8744,687.63,258.07,0.9274,696.31,255.99,0.6117,680.2,255.58,0.8067,698.22,267.55,0.9886,670.26,265.82,0.9926,710.54,282.5,0.9533,656.61,276.26,0.9736,714.52,292.54,0.9244,651.91,283.82,0.9529,691.4,301.91,0.9948,673.64,302.34,0.9957,697.15,333.15,0.9873,676.86,335.64,0.9901,705.93,365.02,0.9585,684.87,369.43,0.9648
Moguls_Männer_Final_1 - 22,9,1,639.79,235.22,737.6,385.47,0.8465,692.32,263.13,0.9646,695.15,259.96,0.8853,689.57,260.38,0.9344,698.18,256.89,0.6247,682.24,257.17,0.8184,700.32,267.83,0.9902,672.33,268.73,0.9931,714.34,284.88,0.9555,663.83,285.06,0.9716,720.91,296.44,0.9239,662.98,295.87,0.9466,693.68,304.59,0.9945,676.07,306.33,0.9951,699.73,338.11,0.987,682.7,341.11,0.9892,712.66,365.43,0.9602,697.23,369.07,0.9652
