file,R,S,M,Y,C,L,MES_60,n_frames,duration_s
Moguls_Frauen_Final_2_08_poses.csv,0.9092781576746971,0.6344201000097369,0.5440586636705204,0.8555492383398404,0.2363869125008522,0.7350427350427351,39.147358072383824,118,4.7
Moguls_Männer_Final_1 - 07_poses.csv,0.8663693790437879,0.5708950669801192,0.5963222100926011,0.9578928136418964,0.20511836141628448,0.671875,38.684728311746895,65,2.6
Moguls_Männer_Final_1 - 04_poses.csv,0.8570578652803913,0.6280861243242492,0.49416895113091863,0.6779410388394934,0.2510826145129075,0.7662337662337663,36.745703603217265,78,3.1
Moguls_Frauen_Final_2_09_poses.csv,0.8556624327025936,0.6773923550013445,0.5016439494834876,0.8888510398374333,0.08875048247491968,0.6506024096385542,36.629026691383324,84,3.4
Moguls_Frauen_Final_2_01_poses.csv,0.6931000887995513,0.6075804915449137,0.6273836148448223,0.8530515686875153,0.23657506016572394,0.6438356164383562,36.615264404808826,147,5.9
Moguls_Frauen_Final_1_12_poses.csv,0.8771620448016518,0.5844122021954055,0.4676805535624775,0.9401906657420955,0.18797607621885892,0.5675675675675675,36.24989110088056,75,3.0
Moguls_Frauen_Final_2_04_poses.csv,0.8308948886947792,0.6060975370169671,0.37598257577321337,0.953655881603633,0.22806071726541355,0.6292134831460674,36.23905083500073,179,7.2
Moguls_Männer_Final_1 - 03_poses.csv,0.5385385788972612,0.5889948032805894,0.5872157243215004,0.9657643240521819,0.22128030722226888,0.6767676767676767,35.78561414541478,100,4.0
Moguls_Frauen_Final_1_20_poses.csv,0.8470030916732364,0.5408046810211136,0.3934095638432481,0.9752166285683899,0.23391198092093413,0.5769230769230769,35.67269022949999,79,3.2
Moguls_Männer_Final_1 - 02_poses.csv,0.6860910580860287,0.575460102087312,0.5207069612332014,0.8949315447379325,0.24568437028315493,0.6363636363636364,35.59237672791266,100,4.0
Moguls_Männer_Final_1 - 01_poses.csv,0.6704858642156042,0.6857027292101594,0.6307969619120994,0.8356621517925659,0.16211646044879535,0.564516129032258,35.49280296611482,63,2.5
Moguls_Frauen_Final_2_11_poses.csv,0.6081496295742874,0.5236152983898085,0.6491670555175721,0.970800701107386,0.10959985545600037,0.6818181818181819,35.43150721863236,155,6.2
Moguls_Männer_Final_2_19_poses.csv,0.6215691918683022,0.6004832805242171,0.5834351018671446,0.7920792079207817,0.2225832558713542,0.7087378640776699,35.2888790212947,104,4.2
Moguls_Frauen_Final_1_23_poses.csv,0.8482670344981711,0.5472692948556035,0.45098918810706445,0.9991387242813544,0.01380514699290425,0.6216216216216216,34.810910103567196,149,6.0
Moguls_Frauen_Final_1_06_poses.csv,0.9452724424151039,0.578019940982736,0.451278154253,0.8135851716040546,0.12407844204028717,0.5669291338582677,34.79163285153449,128,5.1
Moguls_Frauen_Final_1_18_poses.csv,0.8793501503569128,0.5482803732621027,0.4766705574308183,0.92373938106318,0.13107146058241947,0.5170454545454546,34.76157377240887,177,7.1
Moguls_Männer_Final_1 - 06_poses.csv,0.7417068254624964,0.7141685000731561,0.3819330088448676,0.7906310873289706,0.15986239494441856,0.680672268907563,34.689740855614716,120,4.8
Moguls_Männer_Final_1 - 12_poses.csv,0.5165243563871088,0.612547593680614,0.4882652628788323,0.8222086926813488,0.2677171367114214,0.75,34.57263042339326,173,6.9
Moguls_Männer_Final_2_01_poses.csv,0.5990893110559407,0.6654314216383788,0.5953345374288344,0.7277663437563276,0.16528443489969236,0.6868686868686869,34.397747356478604,100,4.0
Moguls_Frauen_Final_1_05_poses.csv,0.7835930779229439,0.5740202859975517,0.47235636905004463,0.7922712537124692,0.15313227906494886,0.6625,34.37873265747959,81,3.2
Moguls_Frauen_Final_1_09_poses.csv,0.7503891236469429,0.6484630396183373,0.4692508116356984,0.8319790540011364,0.09182930966674607,0.6383647798742138,34.30276118443075,319,12.8
