video,frame,track_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_conf,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
Moguls_Männer_Final_1 - 20,0,1,556.19,231.15,645.63,392.71,0.8905,601.95,255.16,0.945,604.14,251.81,0.8409,598.22,251.48,0.8851,608.54,248.43,0.5822,591.64,248.29,0.7187,619.73,260.32,0.9881,581.43,259.72,0.9907,634.4,275.89,0.9557,566.11,280.64,0.97,634.86,280.35,0.9277,570.44,298.24,0.9468,607.49,305.35,0.995,583.58,303.63,0.9954,607.02,339.21,0.9869,582.68,334.23,0.9891,589.22,370.54,0.9566,570.11,363.51,0.9623
Moguls_Männer_Final_1 - 20,1,1,545.55,228.84,640.46,400.73,0.823,601.46,252.07,0.9637,604.17,248.75,0.8809,597.78,248.22,0.9197,609.75,245.32,0.6259,592.49,244.55,0.7553,619.31,259.97,0.9895,583.72,256.27,0.993,627.1,279.12,0.955,565.82,275.31,0.9761,623.21,285.73,0.9242,564.94,291.69,0.9551,606.55,309.28,0.9946,584.43,306.13,0.9958,602.19,350.36,0.9858,583.99,344.04,0.9893,583.98,383.0,0.9508,571.26,376.08,0.9596
Moguls_Männer_Final_1 - 20,2,1,539.04,229.63,636.69,406.96,0.888,602.62,255.76,0.9464,604.98,252.47,0.8304,599.11,251.85,0.8947,609.63,249.04,0.5525,593.15,248.14,0.7378,619.28,262.51,0.9857,585.01,258.84,0.9928,627.11,281.2,0.9469,568.17,276.29,0.9798,618.76,285.31,0.9169,564.32,292.9,0.9597,606.7,312.32,0.9962,584.34,308.71,0.9973,601.74,352.13,0.9896,574.48,346.47,0.9931,582.08,385.31,0.9636,554.67,380.17,0.9725
Moguls_Männer_Final_1 - 20,3,1,540.05,232.88,635.64,406.8,0.9002,603.89,258.11,0.9718,606.73,254.68,0.8913,600.2,254.14,0.9443,611.24,252.81,0.5845,593.18,251.83,0.8085,618.03,268.42,0.9883,585.0,266.65,0.9941,628.05,287.7,0.9458,568.96,288.8,0.9799,620.71,291.08,0.9102,562.35,303.5,0.9583,604.47,318.93,0.9942,582.49,316.52,0.996,599.13,355.62,0.9839,573.44,353.67,0.9893,581.77,388.33,0.945,555.79,388.7,0.9571
Moguls_Männer_Final_1 - 20,4,1,551.89,239.75,631.14,382.86,0.7369,603.73,266.0,0.9538,606.86,262.96,0.8941,600.66,262.28,0.9374,611.34,261.26,0.495,594.78,259.45,0.7595,615.94,272.53,0.9852,584.79,271.35,0.9952,626.83,288.39,0.9388,572.96,288.94,0.9843,626.49,302.6,0.9229,564.31,308.08,0.9689,605.07,317.25,0.991,585.86,316.63,0.9949,601.08,349.97,0.9584,585.19,349.5,0.9727,591.25,375.74,0.8408,579.02,375.7,0.8825
Moguls_Männer_Final_1 - 20,5,1,556.13,247.28,634.13,387.57,0.8164,605.04,276.2,0.9559,607.73,272.8,0.8894,601.04,272.52,0.9427,611.68,269.96,0.4802,594.31,268.98,0.7924,617.56,280.07,0.9885,584.95,278.67,0.9969,626.6,295.91,0.9478,570.71,293.57,0.9906,627.48,306.81,0.9366,568.15,304.85,0.9812,607.64,320.84,0.9961,587.69,320.22,0.9981,603.9,351.74,0.9884,588.03,351.31,0.9933,585.2,379.75,0.9578,574.32,379.67,0.9721
Moguls_Männer_Final_1 - 20,6,1,561.57,252.31,636.74,387.29,0.8837,606.04,277.0,0.9668,608.97,274.18,0.9004,603.3,273.57,0.9293,612.78,272.56,0.6558,597.34,270.85,0.7776,618.27,286.08,0.9886,587.23,282.46,0.992,630.25,302.81,0.9536,570.1,294.49,0.9705,629.62,310.95,0.9306,574.25,302.68,0.9518,608.38,325.47,0.99,589.37,324.14,0.9913,606.1,351.01,0.9701,589.89,351.45,0.9754,596.09,375.82,0.9046,585.39,377.65,0.9166
Moguls_Männer_Final_1 - 20,7,1,562.37,253.65,639.46,392.24,0.7828,608.38,277.82,0.7368,609.72,273.43,0.4559,607.04,273.9,0.6636,604.42,269.4,0.5891,607.1,270.91,0.8219,589.52,281.29,0.9632,616.02,285.79,0.986,571.77,293.72,0.8362,625.33,305.67,0.9495,577.07,291.82,0.7532,628.34,319.94,0.8864,594.05,327.21,0.9764,609.98,329.57,0.9848,593.45,356.08,0.9443,607.84,359.11,0.9647,591.8,376.55,0.8595,605.23,381.27,0.8941
Moguls_Männer_Final_1 - 20,8,1,561.92,251.23,643.42,398.88,0.5555,608.24,276.09,0.9689,611.98,273.54,0.9265,605.83,272.5,0.9294,617.39,271.31,0.7621,600.77,268.6,0.7574,622.19,283.43,0.9911,588.99,276.91,0.9897,630.95,301.64,0.9621,573.1,285.38,0.9564,628.73,316.94,0.9294,577.25,288.67,0.9272,610.33,321.0,0.9905,589.49,318.44,0.9898,613.49,356.38,0.9681,594.96,352.84,0.9673,612.36,384.79,0.8852,601.02,381.04,0.884
Moguls_Männer_Final_1 - 20,9,1,561.61,248.33,649.72,410.7,0.6662,610.2,271.87,0.9677,613.94,268.85,0.9131,607.78,268.22,0.9295,618.22,266.77,0.7012,601.31,264.52,0.7751,620.9,279.59,0.9916,589.07,275.22,0.9913,631.66,298.25,0.9649,575.73,288.26,0.9633,631.48,308.87,0.9393,583.85,297.62,0.9396,609.86,319.86,0.994,589.67,318.94,0.9935,614.31,353.53,0.9835,595.3,352.85,0.9835,619.96,390.69,0.9401,604.86,389.74,0.942
Moguls_Männer_Final_1 - 20,10,1,565.93,246.46,653.68,410.31,0.8142,612.05,272.3,0.9592,615.27,269.34,0.8872,609.68,268.68,0.9109,619.37,266.5,0.6679,603.8,264.47,0.7556,624.0,278.31,0.9912,591.54,273.8,0.9917,633.32,296.91,0.967,579.57,289.3,0.9701,634.84,306.75,0.9434,588.63,304.5,0.9484,611.24,319.18,0.9951,589.89,317.31,0.995,615.57,354.23,0.9857,591.18,349.97,0.9865,618.77,388.12,0.9474,594.64,382.05,0.9511
Moguls_Männer_Final_1 - 20,11,1,569.05,247.63,657.51,414.99,0.7814,613.49,274.71,0.9707,616.98,271.37,0.9143,610.5,270.89,0.9413,621.47,268.61,0.6788,603.89,267.06,0.8048,626.25,282.43,0.9901,594.0,278.91,0.9924,638.89,303.41,0.955,582.4,297.56,0.9697,635.84,302.75,0.9297,587.14,309.89,0.9483,614.66,326.38,0.9927,593.91,325.31,0.9933,618.42,363.62,0.9768,598.72,364.13,0.9808,616.34,394.64,0.9133,598.56,397.37,0.9249
Moguls_Männer_Final_1 - 20,12,1,570.92,252.99,653.4,411.31,0.7199,612.7,283.55,0.9491,615.44,280.13,0.8632,609.36,280.0,0.9085,618.93,277.07,0.5921,601.45,276.59,0.7581,624.13,287.51,0.9829,590.66,289.34,0.985,636.85,298.98,0.9355,585.74,306.97,0.9458,631.95,296.75,0.905,600.38,308.8,0.9188,616.93,332.38,0.9853,595.97,333.63,0.9859,617.83,362.7,0.956,602.39,364.53,0.9593,612.8,389.77,0.8623,609.01,391.33,0.867
Moguls_Männer_Final_1 - 20,13,1,572.03,259.42,649.12,408.9,0.8033,612.68,283.33,0.835,613.76,280.87,0.5669,611.13,280.47,0.7096,614.54,279.96,0.3793,607.31,279.13,0.6069,621.08,290.67,0.9727,596.14,290.77,0.9823,631.98,299.01,0.9353,584.33,308.92,0.9642,631.68,293.88,0.9027,590.43,328.69,0.9374,612.59,336.26,0.9905,596.68,335.9,0.9923,611.38,368.0,0.9712,597.66,367.51,0.9774,604.22,392.15,0.9061,590.96,392.71,0.9183
Moguls_Männer_Final_1 - 20,14,1,575.61,262.47,651.17,408.51,0.7979,610.7,286.87,0.9164,613.01,284.06,0.765,608.56,284.04,0.8219,616.92,282.11,0.54,604.87,281.88,0.6576,625.32,291.71,0.9844,595.3,292.64,0.9895,640.41,297.9,0.9571,582.34,309.09,0.9743,643.2,295.71,0.9365,589.49,330.44,0.9558,614.52,336.06,0.9939,595.31,335.7,0.9948,609.41,366.26,0.9816,591.21,366.56,0.9854,601.03,393.54,0.9334,584.83,395.07,0.9434
Moguls_Männer_Final_1 - 20,15,1,577.38,263.32,654.29,407.62,0.8386,611.13,286.88,0.9284,612.8,283.83,0.7968,607.84,283.78,0.8573,616.77,280.9,0.5456,602.97,281.45,0.6884,627.31,290.18,0.9854,594.32,291.59,0.9889,645.8,295.26,0.9498,579.13,306.2,0.9683,657.09,292.84,0.9154,584.77,313.58,0.9413,616.02,334.09,0.995,595.64,333.34,0.9956,614.14,365.0,0.9874,593.85,362.04,0.9898,594.92,391.46,0.9617,578.65,386.79,0.9663
Moguls_Männer_Final_1 - 20,16,1,570.81,264.67,655.72,421.22,0.8904,610.94,288.26,0.955,613.23,285.04,0.8697,606.87,284.44,0.9093,617.76,282.97,0.6022,599.88,282.24,0.7447,627.97,296.03,0.9882,591.44,295.15,0.9903,646.71,308.61,0.9498,574.48,310.88,0.966,655.58,310.0,0.9131,582.47,311.69,0.9383,619.07,344.53,0.9951,596.28,343.36,0.9955,617.13,378.95,0.9867,593.98,377.55,0.9889,591.26,406.2,0.9567,574.49,403.84,0.9611
Moguls_Männer_Final_1 - 20,17,1,564.77,267.98,654.14,430.69,0.8931,611.85,294.03,0.9655,613.66,290.58,0.8816,607.73,290.39,0.9204,617.26,287.68,0.6056,600.0,287.98,0.7636,627.79,301.1,0.9925,591.21,302.36,0.9934,644.33,316.4,0.9682,578.28,322.76,0.9763,649.67,322.34,0.9425,585.66,324.46,0.9563,617.48,350.46,0.9967,594.94,349.47,0.9969,610.81,387.02,0.9908,589.58,384.14,0.9919,588.05,418.4,0.9668,573.14,412.6,0.9693
Moguls_Männer_Final_1 - 20,18,1,563.29,274.46,651.3,433.33,0.8403,609.92,302.69,0.9712,613.23,299.46,0.9277,606.87,298.85,0.9285,618.54,297.33,0.7506,601.45,296.03,0.7453,628.68,310.25,0.9927,594.03,309.49,0.9922,645.04,325.71,0.969,579.46,325.44,0.9687,638.2,330.09,0.9484,584.31,330.86,0.9489,617.99,354.94,0.995,595.95,353.27,0.9946,610.13,388.11,0.9834,586.67,388.19,0.984,590.86,417.79,0.9333,572.41,418.81,0.9365
Moguls_Männer_Final_1 - 20,19,1,565.29,283.1,648.6,430.96,0.8893,612.8,313.5,0.9627,615.13,310.34,0.8933,609.08,309.84,0.9194,620.25,307.2,0.6761,603.11,306.9,0.7601,627.27,319.13,0.9906,598.92,318.99,0.9934,640.54,332.6,0.9623,581.09,335.11,0.978,644.44,341.99,0.9375,576.37,348.1,0.9589,620.23,357.98,0.9953,603.24,356.99,0.9961,613.67,389.11,0.9853,600.0,389.61,0.9884,587.29,411.86,0.9461,580.36,413.69,0.9533
Moguls_Männer_Final_1 - 20,20,1,567.91,293.33,646.83,431.11,0.8229,614.9,319.83,0.9314,617.1,316.89,0.8001,612.22,316.7,0.8674,620.79,315.17,0.5627,606.97,314.82,0.7174,626.85,327.59,0.9843,599.67,325.31,0.9909,639.65,342.35,0.9498,585.03,336.95,0.9763,642.75,350.84,0.9226,575.85,347.79,0.9563,618.22,365.66,0.9931,601.19,364.23,0.9948,616.28,391.46,0.9789,598.14,390.7,0.9846,609.55,415.65,0.9285,593.0,416.59,0.9411
Moguls_Männer_Final_1 - 20,21,1,575.45,301.07,648.54,427.89,0.793,615.42,330.21,0.938,618.64,326.65,0.9065,611.94,326.4,0.8879,623.83,322.83,0.6614,606.7,322.09,0.5858,632.77,331.63,0.9881,598.11,329.74,0.9924,643.45,348.91,0.9595,585.3,342.3,0.9695,636.86,360.71,0.9425,584.93,349.91,0.9515,625.31,367.82,0.9935,603.78,367.07,0.9948,626.97,390.24,0.9822,606.14,389.28,0.9833,618.2,412.11,0.9489,605.47,410.72,0.9508
Moguls_Männer_Final_1 - 20,22,1,574.46,303.38,649.84,433.18,0.7985,618.28,330.43,0.9626,621.7,327.48,0.9173,615.55,326.62,0.9157,627.57,324.4,0.7422,610.07,322.26,0.7186,635.36,336.6,0.9894,601.07,328.04,0.988,646.0,355.78,0.9596,582.75,334.3,0.9563,636.62,361.74,0.935,585.96,340.01,0.9349,626.39,367.67,0.9888,605.13,363.96,0.9884,624.41,393.15,0.9642,604.9,390.38,0.9642,622.13,417.18,0.8779,608.12,415.82,0.8785
Moguls_Männer_Final_1 - 20,23,1,575.6,302.68,654.47,438.67,0.6342,624.55,325.36,0.9668,627.66,322.25,0.9155,621.77,321.58,0.9317,631.83,320.45,0.6954,614.77,318.38,0.7698,637.8,334.42,0.9888,602.92,326.79,0.9887,648.72,353.75,0.9563,584.28,334.36,0.9582,639.3,363.88,0.9301,591.96,344.0,0.9374,629.21,368.8,0.9882,606.98,366.37,0.9881,632.27,397.33,0.9589,608.39,397.1,0.9604,634.43,428.31,0.854,611.63,429.3,0.8572
Moguls_Männer_Final_1 - 20,24,1,577.45,300.69,663.59,451.18,0.7153,624.65,322.85,0.961,628.25,319.66,0.9218,622.14,319.1,0.9068,633.72,318.28,0.7506,616.82,316.42,0.6724,639.68,333.11,0.9896,607.28,324.1,0.9831,650.38,353.86,0.9632,590.06,326.11,0.9377,643.95,364.56,0.9365,593.16,322.36,0.9149,631.46,367.9,0.9914,609.94,364.9,0.9892,638.46,394.74,0.9772,609.57,393.98,0.9731,647.0,432.32,0.923,613.38,433.08,0.9158
Moguls_Männer_Final_1 - 20,25,1,576.94,298.78,670.95,465.53,0.5379,627.2,320.57,0.9742,631.53,317.19,0.938,624.71,316.62,0.9321,636.89,315.92,0.7551,618.69,313.88,0.7175,641.74,330.27,0.991,608.7,323.86,0.9893,652.4,353.58,0.967,593.26,328.45,0.9573,632.34,357.85,0.9469,590.72,323.92,0.9369,633.94,371.61,0.992,610.53,370.02,0.9907,645.07,401.25,0.9781,612.57,404.18,0.9768,653.42,437.05,0.9188,617.28,444.2,0.9196
Moguls_Männer_Final_1 - 20,26,1,578.35,298.56,672.09,465.8,0.7979,628.96,323.17,0.9704,632.77,320.13,0.9211,626.14,319.87,0.926,638.01,318.5,0.7308,620.27,317.26,0.7393,643.38,333.82,0.9931,608.77,327.99,0.9927,653.52,355.09,0.9721,591.64,332.83,0.9688,647.33,363.84,0.9505,591.35,331.38,0.9473,634.9,375.79,0.9964,612.52,374.49,0.9961,639.94,410.36,0.992,614.59,410.44,0.9919,650.39,440.6,0.9748,625.4,442.05,0.9753
Moguls_Männer_Final_1 - 20,27,1,587.53,301.25,677.04,463.21,0.8157,631.33,325.27,0.9603,634.75,322.27,0.9153,628.47,321.95,0.8921,639.16,321.33,0.7421,621.61,320.3,0.6464,644.19,335.83,0.993,611.49,332.99,0.9843,654.83,357.6,0.9756,605.84,349.04,0.9292,640.34,362.99,0.9544,619.58,357.16,0.9023,636.28,376.1,0.9953,614.09,375.6,0.9925,642.76,409.29,0.99,617.0,410.25,0.9851,652.77,442.17,0.9694,626.43,443.75,0.961
Moguls_Männer_Final_1 - 20,28,1,589.71,305.81,671.19,454.4,0.5355,626.61,323.21,0.5006,627.66,321.18,0.4736,626.81,320.79,0.2282,631.81,321.74,0.4979,629.26,320.55,0.1195,640.18,335.18,0.9637,626.2,329.63,0.9502,651.41,356.13,0.9585,612.9,337.8,0.9006,642.82,367.82,0.9328,600.3,337.65,0.8735,633.06,375.05,0.9924,623.91,372.13,0.991,634.07,404.53,0.9811,617.3,401.98,0.9735,646.42,431.4,0.9427,622.74,428.14,0.9253
