video,frame,track_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_conf,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
Moguls_Männer_Final_1 - 23,0,1,658.1,235.54,758.5,391.88,0.896,717.07,266.54,0.9353,719.4,262.95,0.8628,713.61,262.44,0.8292,725.23,258.4,0.6988,708.33,258.27,0.5852,737.25,269.37,0.991,702.86,268.68,0.987,750.63,286.71,0.9734,684.88,287.02,0.9587,737.09,287.83,0.9545,670.77,301.68,0.9366,727.84,310.5,0.9957,707.17,308.05,0.9948,719.31,346.69,0.9858,701.31,343.04,0.9838,698.47,374.23,0.94,687.57,370.64,0.936
Moguls_Männer_Final_1 - 23,1,1,671.23,240.96,763.11,384.26,0.8728,718.52,266.35,0.8985,720.62,262.61,0.8551,714.68,263.16,0.784,725.92,259.45,0.6282,709.89,261.05,0.4214,738.36,269.95,0.9877,704.31,271.03,0.9882,753.3,285.14,0.9698,694.81,283.18,0.9585,741.16,293.83,0.9574,695.88,284.56,0.9441,728.65,309.5,0.9959,707.12,309.57,0.996,725.87,338.26,0.9905,705.8,338.68,0.9892,706.7,363.76,0.9675,692.45,364.67,0.9647
Moguls_Männer_Final_1 - 23,2,1,686.08,247.55,764.18,369.46,0.4632,721.12,273.52,0.9356,723.93,270.26,0.9166,718.1,270.14,0.8677,728.74,267.38,0.731,713.62,267.04,0.5211,737.64,277.19,0.9892,706.52,276.48,0.9883,753.25,291.11,0.9631,697.61,287.95,0.9404,749.25,299.45,0.9403,697.17,291.44,0.9102,730.24,315.2,0.9875,709.96,314.83,0.987,732.21,333.87,0.9497,706.01,333.51,0.9404,728.33,352.47,0.8519,702.06,352.05,0.834
Moguls_Männer_Final_1 - 23,3,1,680.32,252.12,746.27,352.18,0.3517,722.22,280.85,0.9393,725.76,277.42,0.8754,719.47,277.19,0.8726,732.31,273.75,0.6736,714.42,272.82,0.6325,741.9,284.44,0.9771,707.73,277.93,0.9793,757.65,301.27,0.931,686.46,280.09,0.9393,746.34,309.19,0.8967,666.18,285.6,0.9097,735.14,322.46,0.9656,713.52,319.08,0.9678,731.31,343.97,0.8477,708.0,340.78,0.8575,737.52,352.97,0.5936,718.11,350.04,0.6089
Moguls_Männer_Final_1 - 23,4,1,681.06,251.31,748.24,350.95,0.5684,727.82,275.23,0.9522,730.61,272.4,0.9226,725.08,271.86,0.9142,734.72,269.71,0.6622,719.93,268.05,0.6318,742.98,278.54,0.9885,711.98,273.18,0.9948,754.45,295.8,0.9586,692.98,277.69,0.9804,750.76,313.6,0.9369,673.53,283.08,0.9631,736.13,308.83,0.9881,716.37,306.27,0.992,737.01,317.16,0.9488,708.51,314.35,0.9577,742.83,338.7,0.8602,713.67,335.39,0.8755
Moguls_Männer_Final_1 - 23,5,1,681.86,247.69,751.95,350.38,0.4772,730.71,270.44,0.8976,733.68,267.79,0.8378,728.63,266.84,0.8271,737.9,266.08,0.5542,723.76,263.29,0.5303,745.46,276.86,0.9836,713.32,269.43,0.9918,753.55,298.67,0.9494,695.18,275.73,0.9737,747.58,313.77,0.9248,682.07,275.88,0.9531,734.43,307.54,0.9903,714.48,304.15,0.9931,736.43,314.21,0.9712,711.84,310.75,0.9757,737.92,338.13,0.9292,718.12,333.95,0.9363
Moguls_Männer_Final_1 - 23,6,1,682.95,246.15,758.16,355.87,0.6471,735.16,271.81,0.9529,738.45,268.96,0.8722,732.83,267.88,0.9179,742.61,267.02,0.5955,726.54,263.82,0.76,747.25,280.46,0.9777,717.29,268.79,0.9875,754.53,301.54,0.9145,699.12,270.57,0.9629,748.15,312.05,0.8813,687.75,273.51,0.9412,735.57,311.42,0.978,716.23,306.01,0.9838,736.76,319.35,0.9475,712.24,313.1,0.9632,738.68,348.44,0.8698,715.2,343.62,0.8975
Moguls_Männer_Final_1 - 23,7,1,683.09,246.28,766.27,367.66,0.5461,736.86,274.41,0.956,740.08,271.36,0.8876,734.35,269.92,0.9197,744.49,268.99,0.6215,728.14,265.45,0.7514,750.29,281.84,0.98,717.5,270.96,0.9864,755.76,301.73,0.9246,699.02,275.68,0.9583,753.62,315.17,0.8888,692.1,278.58,0.9354,739.09,314.09,0.98,717.04,308.66,0.9836,749.35,324.76,0.9505,715.05,314.47,0.9621,749.19,359.25,0.8741,712.04,346.85,0.8965
Moguls_Männer_Final_1 - 23,8,1,683.25,248.54,778.76,388.62,0.6897,734.18,276.75,0.9504,738.4,273.59,0.9038,732.36,273.12,0.8846,744.88,271.15,0.7343,728.22,268.73,0.6476,749.23,284.16,0.9878,719.69,273.15,0.9836,759.77,305.69,0.9567,702.22,272.56,0.9406,757.48,327.01,0.9184,694.49,277.98,0.9089,741.48,317.5,0.9921,722.27,313.83,0.9909,744.99,343.5,0.98,719.97,342.65,0.9788,763.16,375.84,0.939,734.8,377.96,0.9384
Moguls_Männer_Final_1 - 23,9,1,680.75,251.72,773.6,388.84,0.5562,735.46,281.88,0.9481,739.18,279.04,0.8657,733.25,278.94,0.9091,745.03,274.85,0.6126,728.14,273.62,0.7403,748.8,282.83,0.9798,719.48,277.6,0.9892,759.5,299.23,0.9258,700.68,280.74,0.9674,751.8,307.6,0.8954,691.41,286.95,0.9448,738.72,312.6,0.9912,719.93,311.48,0.9934,741.35,338.33,0.9822,720.69,343.29,0.9878,742.96,359.76,0.9538,724.88,371.58,0.9648
Moguls_Männer_Final_1 - 23,10,1,681.3,255.49,775.03,397.2,0.4565,734.73,281.71,0.9348,737.92,279.18,0.8358,732.42,278.79,0.8874,742.64,276.59,0.5486,726.83,275.31,0.6918,746.22,283.6,0.9706,718.02,281.14,0.9839,754.52,298.51,0.9005,703.02,292.99,0.9519,749.87,298.36,0.8686,699.46,294.11,0.9231,737.01,310.21,0.9859,718.18,309.16,0.9891,738.26,333.77,0.9788,714.82,333.59,0.9845,738.0,366.87,0.9562,716.94,369.1,0.9651
Moguls_Männer_Final_1 - 23,11,1,680.72,256.12,777.33,405.03,0.4535,733.36,277.54,0.2148,732.65,274.03,0.0881,733.15,274.08,0.1669,724.56,271.95,0.3518,736.51,272.01,0.6241,713.8,282.99,0.9159,743.25,280.82,0.9592,702.85,297.06,0.7395,761.07,289.3,0.8958,707.1,302.27,0.5706,764.74,283.35,0.7635,711.49,324.94,0.9873,731.39,323.64,0.9911,713.71,360.41,0.9843,737.14,354.7,0.9898,709.3,391.31,0.9698,740.68,383.43,0.9779
Moguls_Männer_Final_1 - 23,12,1,675.85,252.0,776.44,410.92,0.4633,724.06,271.54,0.191,723.49,268.58,0.0809,725.23,268.44,0.102,716.41,269.19,0.3628,732.91,268.38,0.4611,707.28,283.52,0.902,739.35,279.37,0.944,694.96,301.83,0.7887,750.09,285.56,0.8809,694.79,311.86,0.6517,738.15,280.62,0.7563,705.69,333.42,0.9697,727.91,331.63,0.9769,703.98,370.58,0.9516,731.34,365.3,0.9643,705.4,401.63,0.8996,741.14,394.28,0.9194
Moguls_Männer_Final_1 - 23,14,2,683.75,234.91,758.3,347.75,0.4769,719.65,257.23,0.8939,722.28,254.17,0.8425,717.17,254.17,0.8273,727.3,251.03,0.5791,713.74,250.99,0.5385,736.37,259.15,0.9828,706.14,260.17,0.9894,749.64,273.1,0.9428,696.76,276.99,0.9632,750.89,276.83,0.9147,691.79,285.11,0.9344,730.15,296.94,0.9876,711.64,297.19,0.9906,728.77,323.68,0.9374,711.04,323.83,0.9459,724.75,344.67,0.8081,711.32,344.72,0.826
Moguls_Männer_Final_1 - 23,15,2,680.05,233.09,766.64,364.58,0.709,716.0,258.35,0.9203,718.56,255.45,0.8575,714.05,255.15,0.7911,724.25,251.95,0.7306,711.4,251.4,0.5333,734.94,261.62,0.9901,703.8,260.37,0.9792,750.89,274.58,0.9726,692.21,272.9,0.9321,748.44,275.77,0.9511,695.23,279.22,0.9053,727.11,299.09,0.994,708.12,297.96,0.9912,725.29,333.12,0.9813,707.82,331.69,0.9745,721.46,356.99,0.9284,707.98,355.36,0.9149
Moguls_Männer_Final_1 - 23,16,2,668.47,233.42,761.42,374.64,0.7406,713.3,263.66,0.9485,716.22,260.15,0.8862,710.48,260.07,0.8797,722.54,255.5,0.7085,706.07,255.6,0.6567,732.59,264.66,0.9883,700.05,266.08,0.9879,747.08,281.64,0.9617,686.13,285.02,0.9597,735.2,284.83,0.9391,676.37,297.73,0.936,726.78,301.4,0.9923,706.54,301.28,0.9922,723.77,330.79,0.9769,702.18,332.63,0.9774,715.15,355.48,0.9169,698.71,360.28,0.919
