video,frame,track_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_conf,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
Moguls_Männer_Final_1 - 02,0,1,652.3,246.77,739.89,393.75,0.5895,704.05,268.84,0.9635,707.15,265.77,0.9063,701.13,265.24,0.9255,711.41,265.67,0.6833,695.28,263.98,0.7655,719.97,283.11,0.986,686.14,275.21,0.989,733.6,303.49,0.9411,666.95,280.84,0.9596,728.18,313.76,0.9057,660.43,287.75,0.9351,715.99,325.7,0.9834,694.98,322.97,0.9854,720.92,357.61,0.9276,699.85,355.27,0.9402,725.88,386.42,0.7466,705.74,384.58,0.7761
Moguls_Männer_Final_1 - 02,1,1,653.59,242.52,741.31,389.9,0.7919,704.6,261.88,0.9757,708.04,259.04,0.9562,701.81,258.58,0.9562,712.63,259.65,0.7485,696.15,258.25,0.7592,719.87,274.85,0.9951,686.58,271.36,0.9979,731.39,295.01,0.9775,671.47,282.01,0.9897,727.36,307.01,0.9657,664.47,283.51,0.9798,714.05,314.64,0.9964,693.69,313.46,0.9977,714.77,339.13,0.9849,697.05,337.78,0.988,720.19,367.21,0.9459,710.51,365.57,0.9532
Moguls_Männer_Final_1 - 02,2,1,652.84,238.86,745.08,394.4,0.6849,703.91,258.93,0.9682,707.84,256.22,0.9259,701.23,255.74,0.9255,713.76,256.77,0.778,696.57,255.34,0.7516,721.18,274.26,0.9921,687.39,268.84,0.9916,733.33,296.41,0.9633,671.1,281.21,0.9618,727.33,301.1,0.9345,668.75,284.78,0.9359,715.29,314.35,0.992,694.72,312.75,0.992,715.49,345.63,0.9731,699.76,345.51,0.9738,722.74,371.63,0.8997,713.89,374.01,0.9017
Moguls_Männer_Final_1 - 02,3,1,654.04,237.94,750.68,401.85,0.828,704.57,259.15,0.9716,708.64,256.29,0.9282,701.92,256.17,0.9233,714.67,256.47,0.7821,697.6,255.65,0.7326,720.24,273.34,0.9945,689.66,270.53,0.9928,732.63,293.95,0.975,676.27,282.91,0.9652,732.48,298.87,0.9513,670.99,283.34,0.9398,715.07,314.05,0.9961,696.04,313.77,0.9955,717.74,350.14,0.9908,701.08,350.26,0.9899,730.26,378.49,0.9691,717.05,379.82,0.9683
Moguls_Männer_Final_1 - 02,4,1,654.97,238.51,751.5,403.37,0.8782,706.44,260.63,0.9715,709.86,257.85,0.9149,703.47,257.77,0.9383,714.44,258.1,0.7254,697.41,257.32,0.81,720.25,275.27,0.993,687.95,271.5,0.9944,732.24,295.07,0.9643,674.16,281.8,0.9738,732.61,304.55,0.9331,670.7,285.91,0.9496,716.43,316.28,0.9951,696.71,315.66,0.9956,717.38,352.48,0.9857,702.34,351.62,0.9877,728.68,377.72,0.9496,719.13,377.28,0.9549
Moguls_Männer_Final_1 - 02,5,1,659.59,242.15,746.56,390.89,0.8129,705.34,265.43,0.9738,709.06,262.61,0.9307,702.52,262.32,0.9348,713.86,262.99,0.7611,697.04,261.79,0.7759,719.85,279.45,0.9927,688.12,277.03,0.9936,732.73,298.38,0.9656,673.78,287.82,0.968,736.09,312.44,0.9383,671.36,291.44,0.943,716.2,318.05,0.9929,696.96,317.87,0.9928,716.01,350.43,0.9786,700.33,350.52,0.9799,720.56,370.24,0.9289,711.48,370.44,0.9341
Moguls_Männer_Final_1 - 02,6,1,656.38,245.59,745.38,399.08,0.8726,705.28,268.3,0.9709,707.79,265.27,0.9011,701.8,265.41,0.9462,711.35,264.86,0.6531,695.0,265.06,0.8399,716.84,281.65,0.9894,687.62,279.12,0.9942,729.68,299.77,0.9444,673.56,289.84,0.9759,730.24,307.46,0.9118,668.01,293.05,0.9555,713.21,322.05,0.9911,696.23,321.77,0.9935,714.18,352.51,0.9751,706.96,352.82,0.9824,714.22,381.88,0.9165,715.0,383.19,0.9333
Moguls_Männer_Final_1 - 02,7,1,656.06,246.07,746.71,403.49,0.8072,701.18,266.15,0.9673,703.57,263.27,0.9142,697.23,263.1,0.9344,707.72,263.04,0.7119,691.37,263.51,0.7888,715.24,277.76,0.9886,685.65,277.33,0.9907,728.88,288.77,0.9497,671.74,289.95,0.9635,736.09,289.14,0.9195,670.57,295.82,0.9378,710.51,325.13,0.989,692.16,324.69,0.9902,713.09,360.83,0.9524,697.86,358.15,0.9586,704.35,386.55,0.8218,692.71,381.78,0.8343
Moguls_Männer_Final_1 - 02,8,1,658.11,239.89,752.7,404.32,0.9083,697.2,260.0,0.9626,700.21,256.58,0.9172,693.81,256.76,0.8993,705.85,254.51,0.7702,689.1,255.57,0.6787,714.08,265.39,0.9936,682.22,270.85,0.9897,733.36,271.02,0.9784,668.25,286.7,0.9602,744.64,276.26,0.9595,669.3,292.87,0.9361,709.17,316.89,0.9964,688.96,319.1,0.9953,709.48,354.41,0.9851,687.6,356.84,0.9816,701.98,382.63,0.9334,683.39,383.56,0.9233
Moguls_Männer_Final_1 - 02,9,1,656.4,229.61,754.88,401.88,0.8729,695.83,246.24,0.9728,698.82,243.02,0.9281,692.44,243.07,0.9206,704.06,242.25,0.765,687.18,242.81,0.7124,713.67,255.25,0.9951,679.94,259.93,0.9919,734.03,262.67,0.9809,666.97,277.81,0.9654,741.49,267.72,0.9609,668.83,284.54,0.9413,706.47,305.24,0.9966,685.18,306.43,0.9957,702.54,341.86,0.9887,680.2,343.5,0.9861,692.87,375.28,0.9495,673.68,376.14,0.9421
