video,frame,track_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_conf,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
Moguls_Männer_Final_1 - 07,0,1,567.81,262.14,642.37,380.99,0.823,593.51,283.08,0.963,596.26,280.27,0.9349,590.86,280.49,0.8842,602.18,277.84,0.8273,587.91,278.69,0.6019,613.23,287.72,0.9938,583.23,288.86,0.9832,630.28,298.63,0.9781,573.69,301.6,0.9244,628.09,300.3,0.9577,578.65,308.87,0.8951,606.68,323.25,0.9914,588.14,322.84,0.9856,604.19,349.95,0.9717,586.83,348.65,0.9561,602.03,370.42,0.9036,587.27,367.15,0.8769
Moguls_Männer_Final_1 - 07,1,1,559.64,257.8,639.69,385.86,0.7029,592.69,278.92,0.9641,595.23,275.69,0.9501,589.6,275.97,0.9109,601.03,272.41,0.8112,586.29,273.25,0.5896,611.28,281.68,0.9944,582.0,282.11,0.9953,623.24,295.97,0.9785,573.83,294.84,0.9724,614.34,301.51,0.9664,577.22,298.6,0.9563,605.46,320.69,0.9949,587.14,320.46,0.9953,602.3,349.13,0.9802,584.83,348.67,0.9783,593.64,372.57,0.9218,582.35,371.91,0.9173
Moguls_Männer_Final_1 - 07,2,1,555.74,255.25,637.04,386.01,0.7716,591.6,275.97,0.9606,594.22,273.31,0.9254,588.89,273.29,0.8802,599.92,271.22,0.8069,585.67,271.69,0.6115,610.73,281.97,0.9934,580.67,282.52,0.9858,622.89,296.58,0.9773,569.55,296.06,0.9401,613.19,304.06,0.9576,576.71,302.44,0.9147,604.53,317.9,0.9929,585.95,317.27,0.9894,600.6,349.26,0.9763,584.62,349.1,0.9668,590.44,369.97,0.9147,579.04,368.95,0.8971
Moguls_Männer_Final_1 - 07,3,1,553.17,254.36,636.3,388.95,0.8472,590.5,276.17,0.9532,592.86,273.39,0.9121,587.64,273.44,0.8497,598.67,270.97,0.7993,584.57,271.82,0.5655,610.39,282.13,0.994,580.22,282.53,0.9853,622.75,296.74,0.9809,568.48,296.22,0.9415,611.4,305.98,0.9639,573.18,307.7,0.9185,603.17,320.04,0.9947,584.82,318.94,0.9916,597.95,351.07,0.9828,583.8,349.95,0.9746,585.15,373.41,0.9359,576.11,371.19,0.9198
Moguls_Männer_Final_1 - 07,4,1,550.3,255.49,634.26,392.34,0.8796,589.48,279.01,0.9489,591.74,275.27,0.9389,586.11,275.93,0.8604,598.15,271.91,0.8073,583.0,273.83,0.4519,610.85,282.53,0.9941,579.15,284.44,0.9935,621.5,297.66,0.9836,569.29,299.91,0.9655,611.45,308.71,0.9754,568.81,311.34,0.9529,603.13,323.78,0.9974,583.55,323.79,0.9972,600.09,352.59,0.994,582.13,352.49,0.9919,579.32,378.66,0.9789,570.27,378.59,0.9744
Moguls_Männer_Final_1 - 07,5,1,550.29,258.49,631.49,391.55,0.8582,589.75,282.54,0.9595,592.42,279.42,0.9241,586.69,279.39,0.8812,598.65,276.61,0.8113,582.91,277.2,0.6321,609.04,288.28,0.9941,579.52,289.27,0.9878,621.72,303.3,0.9788,567.66,304.82,0.9482,608.65,312.68,0.9586,564.69,317.22,0.9212,601.52,326.82,0.9948,583.51,325.76,0.9925,595.52,357.84,0.9819,580.88,356.7,0.9755,581.64,377.81,0.9293,573.96,375.7,0.9164
Moguls_Männer_Final_1 - 07,6,1,554.85,262.44,630.02,386.16,0.7753,591.95,284.08,0.9591,594.35,281.42,0.9186,589.28,281.43,0.8853,599.5,279.33,0.7824,585.67,279.82,0.6379,608.97,290.0,0.992,580.79,290.85,0.9854,620.92,305.46,0.972,569.03,305.67,0.9397,611.85,314.03,0.9494,570.95,313.19,0.9126,602.07,323.87,0.9901,584.89,323.39,0.9863,597.95,353.18,0.9654,584.27,353.13,0.9549,588.15,371.7,0.8806,579.29,370.63,0.8622
Moguls_Männer_Final_1 - 07,7,1,560.48,264.94,630.01,379.61,0.7338,593.75,288.48,0.9655,596.44,285.14,0.9488,590.56,285.35,0.9266,601.58,281.8,0.7783,586.35,282.38,0.659,610.57,291.73,0.9926,579.94,291.73,0.9942,624.68,307.06,0.9698,571.32,302.85,0.9689,616.15,320.37,0.9521,573.1,307.54,0.9483,603.77,331.22,0.9845,584.5,331.28,0.9866,601.52,354.0,0.8915,584.24,354.18,0.8922,593.73,368.47,0.6333,583.14,368.91,0.6367
Moguls_Männer_Final_1 - 07,8,1,562.18,265.2,628.88,374.26,0.6887,596.65,285.7,0.9605,599.29,283.09,0.9111,594.13,283.2,0.9084,603.94,281.12,0.7339,589.88,281.29,0.703,612.49,290.93,0.9879,582.99,290.11,0.9871,625.37,304.87,0.9547,568.5,296.73,0.9499,620.82,312.66,0.9256,564.85,294.58,0.922,606.94,323.08,0.984,588.69,322.71,0.983,607.47,346.95,0.9452,589.69,346.74,0.9446,605.94,361.05,0.8414,592.36,359.97,0.8437
Moguls_Männer_Final_1 - 07,9,1,563.96,261.72,631.83,372.06,0.7609,599.02,283.26,0.9602,602.03,280.25,0.9325,596.09,279.85,0.928,606.83,276.95,0.6933,591.34,275.67,0.6889,612.93,284.8,0.9911,583.85,281.64,0.9948,625.77,300.71,0.9635,573.03,290.37,0.9762,624.44,312.18,0.9457,572.27,292.11,0.9585,605.81,317.91,0.9886,587.56,316.87,0.9914,609.35,341.03,0.938,591.76,340.03,0.9471,608.94,359.19,0.7924,595.61,357.93,0.8118
