video,frame,track_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_conf,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
Moguls_Frauen_Final_1_03,0,1,519.77,175.41,571.44,288.92,0.7962,553.37,195.24,0.9529,556.42,192.34,0.8939,550.23,192.24,0.9422,560.79,192.43,0.5642,544.87,192.12,0.8214,562.4,203.54,0.9805,539.8,203.74,0.9947,564.49,220.35,0.835,530.82,223.12,0.9663,561.03,228.13,0.7883,526.11,240.51,0.9274,555.89,230.07,0.9746,542.25,229.9,0.9874,549.19,246.29,0.9399,539.69,245.89,0.9647,543.88,272.62,0.8991,542.83,272.51,0.9302
Moguls_Frauen_Final_1_03,1,1,514.51,174.72,570.13,296.93,0.8472,550.83,194.08,0.9637,554.48,191.51,0.926,547.94,190.9,0.9447,559.65,192.63,0.6716,543.35,191.12,0.7797,561.0,205.13,0.9882,538.42,203.32,0.996,562.96,221.37,0.9128,527.48,220.64,0.975,561.18,224.59,0.8876,519.59,235.17,0.9513,550.36,233.58,0.9872,536.9,232.22,0.9929,545.49,256.54,0.9678,537.84,254.98,0.9786,537.82,284.64,0.931,536.52,282.79,0.9478
Moguls_Frauen_Final_1_03,2,1,511.45,177.08,568.37,302.05,0.7433,551.23,196.6,0.9607,554.67,193.88,0.903,548.28,193.33,0.9537,559.71,194.93,0.5286,543.47,193.47,0.8348,561.55,207.92,0.9796,537.38,205.71,0.9955,564.76,224.39,0.827,524.66,222.2,0.9741,562.68,230.52,0.795,517.15,237.41,0.9437,550.6,237.26,0.9781,535.71,235.66,0.99,547.54,258.97,0.9474,533.9,257.09,0.9726,538.68,287.6,0.9023,530.69,285.71,0.939
Moguls_Frauen_Final_1_03,3,1,509.7,181.35,567.56,308.23,0.7473,550.52,200.16,0.965,553.85,197.36,0.9043,547.13,196.85,0.9609,558.32,198.57,0.5213,541.52,197.22,0.8672,559.86,212.3,0.9845,535.84,210.23,0.9969,562.6,229.19,0.8774,524.62,226.57,0.9861,560.47,237.39,0.8565,516.62,241.43,0.9691,548.25,244.75,0.9877,533.54,243.29,0.9947,544.88,270.17,0.9646,533.83,268.69,0.9829,531.38,292.26,0.9148,524.52,290.9,0.9496
Moguls_Frauen_Final_1_03,4,1,510.6,185.58,566.78,307.7,0.5959,549.96,204.84,0.9595,553.74,202.24,0.9314,547.22,201.55,0.9264,559.08,203.95,0.7391,542.75,201.95,0.7069,562.14,218.94,0.9911,536.08,214.42,0.9951,564.66,239.96,0.9414,521.88,227.76,0.9664,563.65,256.9,0.906,514.95,240.8,0.9357,551.72,248.87,0.9895,535.65,246.66,0.9924,548.36,269.86,0.9661,535.06,267.7,0.9708,541.99,289.99,0.9168,533.34,287.19,0.9234
Moguls_Frauen_Final_1_03,6,1,523.72,185.98,575.21,297.86,0.6507,555.38,207.0,0.946,558.02,203.63,0.8655,551.63,203.86,0.9329,561.99,203.03,0.489,545.49,203.42,0.818,563.68,214.67,0.9818,540.98,215.6,0.993,568.12,232.33,0.8755,537.32,234.66,0.964,568.27,245.78,0.8461,545.79,246.94,0.9344,559.53,246.28,0.9802,544.54,247.0,0.9882,560.85,262.79,0.9448,544.87,263.56,0.9646,552.13,278.59,0.8922,537.93,279.87,0.9223
Moguls_Frauen_Final_1_03,7,1,529.0,183.27,582.39,300.22,0.4825,554.56,200.37,0.9485,558.33,197.37,0.9079,551.65,196.94,0.8979,564.1,198.02,0.7088,547.31,196.8,0.6657,565.93,211.43,0.9879,542.08,210.26,0.9878,571.68,229.79,0.93,539.59,229.55,0.9135,571.81,242.62,0.8915,555.65,244.27,0.8657,559.3,244.82,0.9725,543.15,244.56,0.9728,565.13,259.73,0.9055,546.7,259.21,0.9016,562.29,276.61,0.7949,546.81,275.56,0.7893
Moguls_Frauen_Final_1_03,8,1,529.72,179.09,588.15,309.09,0.5158,558.11,196.28,0.941,561.66,193.16,0.8884,555.12,192.96,0.9017,567.07,193.62,0.6427,550.52,192.96,0.7043,570.22,207.61,0.9839,544.26,206.94,0.9889,575.43,227.25,0.8962,539.55,226.03,0.9269,573.13,240.39,0.85,552.88,238.23,0.8773,564.86,242.87,0.9763,547.64,242.94,0.9809,568.07,263.61,0.9349,550.05,263.46,0.9433,565.11,285.16,0.8621,551.51,284.69,0.874
Moguls_Frauen_Final_1_03,9,1,532.8,175.53,589.86,303.64,0.7428,559.58,194.15,0.953,563.19,191.42,0.9144,557.08,190.99,0.9139,568.65,191.54,0.7003,553.2,190.36,0.6941,571.29,203.13,0.9897,547.45,201.96,0.993,576.55,220.01,0.9436,542.75,219.02,0.9576,577.82,229.08,0.9178,549.61,230.29,0.9282,564.7,234.1,0.9889,549.1,233.7,0.9911,567.93,256.58,0.971,551.02,255.84,0.9739,570.24,278.94,0.9312,555.42,277.65,0.9354
Moguls_Frauen_Final_1_03,10,1,535.94,174.34,592.48,301.99,0.7764,563.91,193.96,0.9463,567.25,191.13,0.9138,561.19,190.85,0.8928,571.85,191.22,0.7258,556.09,190.35,0.626,575.42,203.04,0.9911,549.42,202.18,0.991,582.42,221.29,0.9582,545.33,219.64,0.9395,581.31,231.35,0.9332,549.41,228.55,0.9054,568.73,235.0,0.9913,551.95,234.72,0.9911,567.74,258.61,0.9782,550.37,258.12,0.9745,575.28,281.65,0.9442,561.35,280.96,0.9364
