video,frame,track_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_conf,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
Moguls_Männer_Final_1 - 06,0,1,639.19,228.5,742.84,373.54,0.8787,702.11,259.37,0.9728,705.85,256.09,0.9217,698.48,255.24,0.9395,712.18,252.33,0.7156,691.89,250.68,0.7873,719.99,264.59,0.9913,684.27,261.93,0.9944,731.38,284.69,0.959,666.32,279.6,0.9772,731.37,302.94,0.9303,651.5,294.86,0.9552,705.26,302.5,0.9938,683.44,299.25,0.9949,698.11,335.22,0.9811,675.08,328.6,0.9853,681.25,358.53,0.9368,666.12,350.76,0.948
Moguls_Männer_Final_1 - 06,1,1,641.5,233.58,730.26,357.14,0.8552,696.54,265.93,0.9712,700.79,263.02,0.9301,693.29,261.91,0.9282,708.76,259.27,0.772,688.33,257.25,0.7242,714.46,269.32,0.992,681.4,265.61,0.992,723.7,288.03,0.9666,662.02,283.05,0.968,728.85,297.15,0.9385,646.6,298.49,0.9406,702.07,300.38,0.9926,681.35,297.62,0.9927,701.11,327.35,0.977,678.6,322.16,0.9779,690.78,344.11,0.9267,674.01,340.12,0.9291
Moguls_Männer_Final_1 - 06,2,1,636.04,236.91,729.28,365.75,0.7635,694.45,266.9,0.9666,698.94,263.13,0.9272,691.29,262.24,0.9022,707.32,259.54,0.7591,686.89,257.41,0.6635,715.7,271.44,0.9898,681.19,267.86,0.9897,727.41,291.67,0.96,658.15,282.01,0.9575,733.01,308.19,0.9346,635.82,285.9,0.9352,705.77,309.6,0.9895,684.2,306.54,0.9889,699.46,329.83,0.9745,676.68,325.12,0.9761,683.32,351.79,0.9248,669.65,346.69,0.9326
Moguls_Männer_Final_1 - 06,3,1,648.38,232.98,748.47,372.4,0.6701,695.05,263.59,0.9539,698.99,260.18,0.9348,691.88,259.88,0.8232,708.0,254.72,0.8464,688.95,254.13,0.4195,722.69,266.58,0.9931,684.1,260.6,0.9707,733.11,288.38,0.9792,672.99,266.01,0.8748,734.05,311.01,0.9568,669.09,269.62,0.8386,712.79,312.31,0.989,689.5,307.16,0.9779,693.45,334.96,0.9657,672.45,321.21,0.9324,692.29,356.24,0.9027,682.4,334.34,0.8585
Moguls_Männer_Final_1 - 06,4,1,638.91,227.58,745.22,375.47,0.7774,696.92,256.77,0.9648,701.4,253.39,0.9276,693.51,252.94,0.8972,710.42,248.64,0.7999,689.39,247.66,0.6379,722.17,262.15,0.9924,682.02,255.66,0.9896,736.92,283.42,0.9706,659.71,260.16,0.9571,732.38,297.0,0.9456,643.18,263.38,0.9295,708.8,311.41,0.9926,684.51,307.4,0.9912,704.01,348.52,0.9693,683.08,342.52,0.9664,696.7,361.48,0.8827,686.21,354.84,0.8813
Moguls_Männer_Final_1 - 06,5,1,637.02,222.78,746.59,376.18,0.6862,700.36,250.72,0.965,704.13,247.31,0.9314,697.1,246.99,0.9066,711.64,243.55,0.8026,692.65,242.9,0.675,721.94,256.61,0.9924,685.44,249.64,0.9885,732.61,273.09,0.9697,664.83,251.82,0.9515,725.91,281.05,0.944,652.2,256.74,0.924,708.52,296.46,0.9929,686.18,291.99,0.9912,706.75,330.82,0.9755,685.69,322.04,0.9721,704.21,353.4,0.9096,688.1,341.88,0.9067
Moguls_Männer_Final_1 - 06,6,1,639.3,221.03,751.25,380.04,0.86,703.35,250.91,0.9603,707.3,247.75,0.9192,700.59,247.68,0.8737,714.62,243.93,0.7983,696.89,243.58,0.5964,722.85,255.99,0.9946,687.41,251.35,0.9873,733.13,271.91,0.9819,670.33,256.66,0.9466,724.05,274.16,0.9634,663.68,259.54,0.9204,709.42,300.07,0.9961,687.28,297.7,0.9941,707.77,332.45,0.9896,688.7,329.39,0.9848,714.21,357.89,0.9623,700.22,355.34,0.9532
Moguls_Männer_Final_1 - 06,7,1,642.64,221.91,755.53,384.96,0.8714,704.9,252.32,0.9625,709.4,249.02,0.9244,702.37,248.97,0.8751,717.14,246.25,0.8109,698.67,245.66,0.5905,723.51,259.63,0.9953,687.59,255.22,0.9877,734.86,279.35,0.9847,670.77,264.36,0.9468,729.89,282.93,0.9685,669.0,264.1,0.9217,708.08,301.75,0.9969,685.24,300.12,0.9949,708.8,335.47,0.9919,686.83,334.86,0.9874,719.22,365.21,0.9688,700.45,365.93,0.9593
Moguls_Männer_Final_1 - 06,8,1,651.22,225.68,759.24,385.12,0.8481,706.35,257.52,0.9644,710.6,254.17,0.9299,703.69,254.24,0.8917,718.41,250.97,0.8061,700.15,250.67,0.6139,724.0,264.54,0.994,691.72,258.73,0.9863,736.6,288.54,0.9785,677.17,268.1,0.9412,736.07,297.86,0.9577,677.21,268.07,0.9126,708.45,300.82,0.9953,687.89,298.69,0.993,708.53,333.84,0.9885,688.2,334.15,0.9835,716.21,362.64,0.959,696.3,365.04,0.9492
Moguls_Männer_Final_1 - 06,9,1,657.27,232.42,756.63,381.9,0.8183,709.35,265.72,0.9704,712.79,262.35,0.9261,705.77,262.34,0.9273,718.79,259.23,0.7371,700.27,259.18,0.7279,724.25,272.65,0.9916,690.39,268.88,0.9885,732.01,291.83,0.9658,678.72,285.0,0.9505,732.02,288.18,0.9392,686.99,288.26,0.9221,709.02,310.49,0.9901,687.41,308.61,0.9883,711.01,342.26,0.9697,690.25,338.23,0.9658,711.94,364.23,0.9055,693.13,358.78,0.8989
Moguls_Männer_Final_1 - 06,10,1,660.2,236.92,755.92,381.91,0.8271,708.99,266.49,0.9708,712.38,263.2,0.9276,705.45,262.74,0.9374,717.62,261.34,0.7414,699.17,260.58,0.778,722.66,274.95,0.9912,690.22,272.39,0.9902,736.47,289.54,0.9615,676.23,287.23,0.959,740.39,288.59,0.9358,680.23,295.53,0.9329,709.04,314.97,0.9907,688.77,313.74,0.9902,711.7,348.51,0.9632,693.17,347.14,0.963,705.08,370.34,0.8604,690.04,368.94,0.8585
Moguls_Männer_Final_1 - 06,11,1,660.87,236.91,756.37,382.15,0.8634,706.1,266.13,0.9704,709.59,262.88,0.943,702.57,262.39,0.9074,716.24,259.82,0.8291,697.48,259.14,0.6514,726.11,273.24,0.9953,688.29,268.48,0.9865,740.76,291.31,0.9813,675.33,281.23,0.9342,745.34,293.17,0.9597,679.93,282.26,0.8992,709.07,313.66,0.9936,685.52,309.87,0.9892,704.95,345.62,0.9763,682.34,336.22,0.9619,700.69,366.91,0.9076,682.95,352.23,0.8785
Moguls_Männer_Final_1 - 06,12,1,654.42,235.43,757.02,392.78,0.8614,704.72,266.52,0.9666,708.57,262.68,0.9317,701.18,262.1,0.9065,715.97,258.52,0.7966,696.24,257.75,0.6588,726.76,273.82,0.9931,687.3,268.1,0.9876,744.38,293.7,0.9737,668.35,283.61,0.9489,740.72,290.35,0.9531,665.3,298.93,0.92,707.67,324.91,0.9928,683.77,320.75,0.9907,698.08,364.94,0.9656,681.06,359.24,0.9567,689.63,387.42,0.848,679.91,381.22,0.8254
Moguls_Männer_Final_1 - 06,13,1,648.77,233.75,757.28,402.78,0.8922,705.88,265.42,0.9693,708.96,261.71,0.9188,701.75,261.06,0.9293,714.9,257.4,0.7274,694.81,256.76,0.7591,724.46,270.59,0.9928,686.56,266.84,0.993,737.89,287.41,0.9684,669.0,283.15,0.9724,736.71,289.4,0.9449,663.45,299.91,0.9493,709.32,315.37,0.9962,686.31,311.81,0.9963,701.58,355.57,0.9873,682.47,348.65,0.9881,685.78,386.56,0.9484,673.68,378.48,0.9507
Moguls_Männer_Final_1 - 06,14,1,644.79,233.96,757.12,412.42,0.8848,704.23,266.26,0.9782,707.55,262.9,0.9258,700.03,262.18,0.9508,713.87,258.01,0.6697,693.12,257.19,0.7856,723.18,270.13,0.9906,684.11,268.4,0.9937,735.78,284.1,0.9579,666.93,287.15,0.9771,730.39,289.39,0.9359,663.35,302.72,0.961,705.71,317.59,0.9932,682.18,314.55,0.9946,700.51,358.55,0.9816,681.96,352.54,0.9861,677.35,392.97,0.9371,668.11,386.9,0.9475
Moguls_Männer_Final_1 - 06,15,1,641.47,235.55,754.23,417.47,0.9045,702.99,265.85,0.9772,706.53,262.18,0.9241,698.9,261.75,0.9432,713.32,258.43,0.7066,692.87,258.03,0.7726,721.93,273.43,0.9937,684.61,270.31,0.9947,735.57,293.24,0.9712,665.67,291.55,0.9797,727.68,291.61,0.9496,661.38,308.43,0.9616,702.95,323.59,0.9968,679.46,320.39,0.9971,697.7,362.21,0.991,676.23,359.74,0.9924,677.79,397.41,0.9637,660.5,398.1,0.9674
Moguls_Männer_Final_1 - 06,16,1,641.28,239.9,750.17,416.93,0.8911,703.6,274.08,0.9694,706.49,270.14,0.8949,699.78,270.15,0.9403,711.46,266.4,0.6288,692.66,266.52,0.8174,720.34,280.67,0.9905,683.87,279.53,0.9952,735.37,300.23,0.9561,666.35,299.48,0.9831,730.49,306.88,0.9314,655.66,317.93,0.966,704.28,326.71,0.9959,681.74,324.55,0.997,698.0,364.99,0.9873,675.37,362.28,0.9915,683.95,397.84,0.9507,664.81,395.9,0.9628
Moguls_Männer_Final_1 - 06,17,1,643.29,245.99,745.78,411.12,0.8326,699.73,280.97,0.941,702.55,277.56,0.8431,696.68,277.12,0.8603,708.85,273.61,0.6504,692.23,273.24,0.6543,716.9,285.55,0.9893,684.97,282.99,0.9914,729.31,307.64,0.9661,664.78,302.99,0.9758,735.84,328.58,0.9376,653.1,325.81,0.952,705.93,324.42,0.9958,685.92,322.32,0.9963,702.99,360.1,0.9867,680.46,358.06,0.9886,688.97,390.5,0.9482,668.16,390.16,0.953
