video,frame,track_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_conf,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
Moguls_Männer_Final_1 - 10,0,1,492.19,254.91,568.4,405.74,0.7753,529.35,276.95,0.8277,530.65,273.89,0.5832,527.71,274.18,0.6638,532.41,271.08,0.4105,524.73,271.7,0.5218,541.09,281.02,0.9736,513.14,282.54,0.9785,555.04,292.89,0.9477,500.45,297.58,0.9599,553.9,296.51,0.9222,506.13,302.19,0.9364,527.55,333.07,0.9901,509.89,333.11,0.9907,522.92,366.46,0.9636,506.7,368.41,0.9675,514.73,391.11,0.865,498.99,393.5,0.8722
Moguls_Männer_Final_1 - 10,1,1,483.09,250.83,562.68,408.78,0.5678,527.41,274.73,0.855,529.26,271.63,0.631,525.33,272.0,0.7564,530.98,268.91,0.3953,520.83,269.43,0.6054,535.28,279.42,0.9574,512.2,280.6,0.9763,544.88,293.65,0.8912,499.31,294.68,0.9474,548.02,295.44,0.8526,502.11,291.2,0.9139,526.35,328.03,0.9802,512.21,328.61,0.9848,514.88,360.76,0.9485,505.96,365.42,0.961,506.66,387.29,0.852,502.28,394.18,0.8723
Moguls_Männer_Final_1 - 10,2,1,494.32,248.62,557.95,373.77,0.7922,524.2,272.6,0.8407,526.16,269.39,0.7233,521.5,269.61,0.7648,530.91,265.33,0.4115,517.95,265.7,0.5288,540.13,272.3,0.9817,509.67,272.36,0.9926,551.99,285.49,0.9544,498.89,286.27,0.9838,552.12,291.93,0.9447,503.64,294.31,0.9721,531.08,307.66,0.9955,512.34,307.3,0.9973,528.48,331.1,0.9877,509.64,330.63,0.9914,515.06,351.51,0.9605,502.15,351.25,0.9701
Moguls_Männer_Final_1 - 10,3,1,492.73,247.9,553.78,366.88,0.8409,521.29,273.59,0.7671,523.39,270.84,0.66,518.94,270.43,0.623,528.1,266.74,0.4131,515.58,265.58,0.3465,536.38,271.58,0.9767,507.59,269.41,0.9859,545.79,284.95,0.9616,497.02,282.14,0.9735,546.28,293.79,0.9531,497.2,294.17,0.9615,525.96,302.28,0.9958,508.05,300.84,0.9968,525.58,328.11,0.9909,506.89,326.58,0.9919,513.54,353.16,0.9712,497.52,351.3,0.9739
Moguls_Männer_Final_1 - 10,4,1,492.25,248.17,550.05,359.63,0.8283,520.23,275.19,0.8737,522.84,272.3,0.8232,517.67,271.72,0.7608,528.13,268.13,0.5813,513.96,266.6,0.4234,536.09,273.25,0.9829,506.92,270.46,0.9878,545.85,290.87,0.9622,495.91,285.92,0.9649,539.82,296.58,0.9481,494.06,295.31,0.9471,526.1,302.85,0.9895,508.64,301.17,0.9912,522.93,326.75,0.9614,510.86,325.03,0.962,511.88,352.76,0.8659,509.55,350.66,0.8681
Moguls_Männer_Final_1 - 10,5,1,489.67,250.21,545.57,356.38,0.545,520.9,276.29,0.9352,523.62,273.61,0.8741,518.54,273.12,0.8395,529.66,269.8,0.7112,514.98,268.99,0.5809,537.75,277.95,0.986,507.44,275.03,0.9783,545.65,294.89,0.9605,491.92,289.11,0.9306,534.74,293.76,0.9356,489.47,294.53,0.9035,527.18,307.95,0.981,508.29,305.81,0.9761,525.41,330.53,0.9315,508.68,327.29,0.9171,517.58,345.35,0.787,507.22,341.48,0.7651
Moguls_Männer_Final_1 - 10,6,1,489.05,249.08,544.21,352.01,0.6773,523.88,273.66,0.8616,526.35,270.6,0.7661,521.9,270.4,0.7726,531.72,266.87,0.4583,518.68,266.21,0.4931,539.67,275.26,0.9628,510.52,272.18,0.9823,545.52,290.51,0.9013,493.33,280.67,0.9559,535.44,300.2,0.8764,492.48,287.39,0.9281,531.31,313.8,0.9581,513.36,312.07,0.9704,529.82,328.57,0.7892,511.65,326.46,0.829,523.73,344.25,0.4833,514.94,341.67,0.5371
Moguls_Männer_Final_1 - 10,7,1,488.58,245.32,546.39,351.23,0.7009,528.26,266.11,0.9345,530.48,263.32,0.8504,526.21,262.93,0.8568,534.05,260.43,0.6274,521.79,259.14,0.6349,542.34,272.09,0.9796,510.84,265.58,0.9774,550.52,294.43,0.9428,490.72,274.45,0.9339,535.25,298.04,0.9141,491.83,277.44,0.9084,534.61,310.05,0.9662,514.58,307.57,0.9639,533.37,337.64,0.8536,514.58,336.23,0.8462,534.12,355.15,0.5796,516.18,353.35,0.5718
Moguls_Männer_Final_1 - 10,8,1,485.73,238.2,551.96,358.3,0.7359,528.8,262.34,0.9602,532.21,259.13,0.9123,526.43,258.37,0.9139,538.2,255.33,0.7212,522.12,253.29,0.7058,546.39,267.88,0.984,512.78,260.24,0.9851,555.76,286.55,0.9451,490.98,266.41,0.9517,547.45,292.9,0.918,489.84,274.19,0.9289,540.61,306.66,0.9786,519.11,303.77,0.9795,542.07,339.79,0.9054,517.84,337.84,0.912,543.73,362.34,0.685,519.2,361.59,0.6989
Moguls_Männer_Final_1 - 10,9,1,485.08,232.19,557.19,362.69,0.7093,528.61,258.88,0.9409,531.68,255.94,0.8837,526.27,255.4,0.8306,538.27,250.9,0.7259,523.28,249.61,0.5347,548.42,261.92,0.9889,513.85,253.98,0.9794,555.85,284.46,0.9709,492.77,262.92,0.9356,540.35,279.45,0.9536,492.48,270.41,0.9186,542.75,301.92,0.9888,520.78,299.08,0.9846,546.87,328.02,0.9644,524.94,325.92,0.9538,550.2,352.22,0.8755,529.2,352.03,0.8586
