video,frame,track_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_conf,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
Moguls_Männer_Final_1 - 05,0,1,451.41,258.96,520.83,371.06,0.4835,486.7,287.12,0.9513,490.14,283.32,0.9255,483.52,283.29,0.8998,496.81,280.66,0.7098,479.25,280.59,0.5984,505.21,292.5,0.9868,472.94,293.26,0.9901,513.26,311.75,0.9347,462.36,316.84,0.9347,503.43,312.54,0.9023,459.45,329.01,0.8925,499.33,330.76,0.9766,478.95,330.57,0.9787,494.91,344.61,0.9157,472.64,343.96,0.9105,490.64,360.65,0.7869,475.26,359.53,0.781
Moguls_Männer_Final_1 - 05,1,1,454.46,259.15,530.03,381.47,0.7601,492.69,284.99,0.9575,495.67,280.96,0.9316,489.28,281.1,0.8979,501.08,277.76,0.7295,483.89,277.66,0.5781,508.57,292.27,0.9916,479.27,289.63,0.9938,518.68,314.65,0.9616,469.19,303.2,0.9633,512.46,319.34,0.943,466.67,294.99,0.9436,504.73,337.2,0.9896,487.21,336.13,0.9914,488.04,344.48,0.965,475.93,343.51,0.9633,493.37,360.83,0.8991,487.64,359.5,0.893
Moguls_Männer_Final_1 - 05,2,1,454.15,256.09,538.56,393.42,0.5085,497.45,281.55,0.959,500.79,278.38,0.9118,494.35,278.09,0.8976,506.19,276.48,0.7407,489.14,275.59,0.6665,516.02,291.9,0.9883,481.02,287.26,0.9844,524.87,312.41,0.9557,468.38,294.85,0.9357,516.85,314.81,0.9227,468.04,286.41,0.9006,509.44,337.05,0.9826,487.28,334.36,0.9795,502.54,364.19,0.9349,479.94,358.39,0.9254,504.44,379.12,0.8031,487.54,369.91,0.7919
Moguls_Männer_Final_1 - 05,3,1,453.54,251.23,539.53,391.38,0.7157,503.47,277.1,0.9577,506.86,274.61,0.9041,501.1,273.39,0.8943,511.84,273.32,0.7142,495.94,270.21,0.6607,519.41,287.32,0.9892,485.2,278.57,0.9862,529.92,308.02,0.9632,466.2,281.04,0.9502,521.77,315.56,0.938,464.1,279.63,0.9256,510.8,324.87,0.9909,488.57,321.48,0.9894,516.22,350.53,0.9733,487.22,347.65,0.971,513.15,373.36,0.9174,484.31,371.86,0.9154
Moguls_Männer_Final_1 - 05,4,1,452.56,248.44,546.4,402.7,0.7474,512.18,274.15,0.9509,515.73,271.32,0.8793,509.78,270.12,0.9061,520.03,270.23,0.6306,503.6,266.97,0.7305,523.43,284.99,0.9834,492.07,274.64,0.9855,531.15,304.51,0.9412,472.19,279.28,0.9551,523.76,307.03,0.914,471.03,283.34,0.9353,510.69,323.38,0.9888,490.12,319.75,0.9895,519.16,356.22,0.9619,494.2,355.43,0.9673,519.75,386.64,0.8658,491.41,389.62,0.8785
Moguls_Männer_Final_1 - 05,5,1,453.59,247.49,553.44,413.62,0.7529,515.94,275.42,0.9563,520.18,272.28,0.8963,513.3,271.15,0.9119,525.51,270.94,0.6793,507.35,267.55,0.7405,527.77,288.9,0.9875,493.48,277.18,0.9866,534.09,308.05,0.9459,471.73,280.13,0.9447,533.15,306.77,0.9109,478.64,285.97,0.9142,511.89,329.67,0.9907,491.04,326.01,0.99,519.09,364.28,0.974,502.87,360.9,0.9747,522.77,389.84,0.9159,510.02,387.91,0.9195
Moguls_Männer_Final_1 - 05,6,1,458.23,248.51,556.01,412.41,0.7678,518.85,277.55,0.9299,522.79,274.92,0.8592,517.05,273.78,0.8312,528.1,273.62,0.7051,512.78,270.47,0.5969,530.43,288.18,0.9887,500.38,276.97,0.9788,538.71,305.85,0.9645,483.09,278.91,0.9247,541.13,306.7,0.933,476.09,283.47,0.8877,512.89,321.62,0.9922,493.67,317.03,0.9893,519.73,359.64,0.9786,498.62,352.96,0.972,534.35,382.59,0.9267,509.87,376.63,0.9145
Moguls_Männer_Final_1 - 05,7,1,466.64,250.89,560.1,409.3,0.8156,521.54,279.91,0.9598,525.83,276.93,0.9108,519.22,276.51,0.8977,531.05,276.02,0.7529,513.86,274.37,0.6879,532.22,289.91,0.9931,499.9,286.74,0.9861,539.17,306.29,0.974,490.44,302.08,0.9349,541.77,310.66,0.9475,504.14,312.02,0.8979,516.34,326.16,0.9948,494.86,325.58,0.9923,523.76,358.83,0.9878,498.19,356.84,0.9827,539.68,385.42,0.9629,513.56,382.41,0.9542
Moguls_Männer_Final_1 - 05,8,1,473.76,253.69,559.98,399.43,0.8451,524.48,281.47,0.9505,527.97,278.57,0.868,522.23,278.07,0.8935,531.98,277.33,0.6755,516.64,275.74,0.7374,533.48,291.34,0.9914,503.29,285.53,0.9909,541.67,308.7,0.9677,486.87,294.8,0.9665,549.71,313.65,0.9407,489.17,295.82,0.9411,515.93,323.32,0.9952,496.84,321.25,0.9949,520.78,353.12,0.9865,499.76,350.47,0.9866,527.39,371.99,0.9546,506.23,369.49,0.9548
Moguls_Männer_Final_1 - 05,9,1,478.72,257.85,560.23,395.02,0.8279,522.79,285.32,0.9652,526.77,282.62,0.931,520.31,281.1,0.9378,531.1,282.46,0.6562,514.28,277.9,0.7101,531.09,294.7,0.9933,502.18,288.27,0.9954,541.67,310.25,0.9783,488.78,299.94,0.9814,552.78,307.66,0.9696,494.91,295.5,0.9699,518.14,330.57,0.994,499.7,328.3,0.995,521.97,356.49,0.974,505.76,354.51,0.9749,521.23,374.69,0.9024,505.31,372.06,0.9039
