video,frame,track_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_conf,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
Moguls_Männer_Final_1 - 03,0,1,484.53,235.28,560.77,361.51,0.7952,531.18,259.93,0.9612,534.07,256.89,0.9019,527.6,256.81,0.9145,540.38,253.93,0.6984,523.6,254.58,0.7207,548.11,264.36,0.9856,521.93,266.16,0.9916,552.86,278.58,0.9398,507.94,283.78,0.9691,550.18,280.94,0.9072,496.47,287.63,0.945,546.29,298.28,0.9918,529.72,297.94,0.9937,543.71,329.11,0.982,524.74,328.39,0.9869,528.74,347.67,0.9557,512.66,348.97,0.9648
Moguls_Männer_Final_1 - 03,1,1,495.12,237.12,566.19,354.16,0.8324,534.32,258.2,0.9141,536.52,255.03,0.858,531.12,255.63,0.875,540.81,252.75,0.5384,527.01,254.34,0.6267,546.67,260.01,0.9846,523.17,263.09,0.9929,558.61,269.07,0.9452,510.76,274.82,0.9756,569.25,271.26,0.928,496.64,276.23,0.958,543.2,290.6,0.9934,529.24,292.11,0.9957,545.49,315.69,0.9803,533.78,317.39,0.9851,537.28,338.69,0.9482,525.03,340.93,0.958
Moguls_Männer_Final_1 - 03,2,1,500.05,236.87,567.87,347.75,0.5069,536.24,259.26,0.9155,538.94,256.0,0.8907,533.03,256.11,0.8494,544.08,252.92,0.6629,528.87,253.14,0.5205,551.01,261.04,0.9806,525.17,260.58,0.9845,561.3,275.31,0.9284,516.03,272.33,0.9273,566.45,286.0,0.8961,508.4,277.41,0.8905,545.0,292.47,0.9814,529.78,292.12,0.9837,543.56,314.28,0.9429,532.45,313.92,0.9428,535.04,335.41,0.8631,528.85,334.83,0.8639
Moguls_Männer_Final_1 - 03,3,1,509.82,232.55,578.85,346.31,0.7206,538.53,255.44,0.8985,541.14,252.34,0.8641,535.72,252.21,0.767,546.55,249.03,0.6985,532.2,248.61,0.4222,555.55,256.65,0.987,526.63,255.6,0.9838,565.09,274.98,0.959,522.49,270.91,0.9189,556.43,291.07,0.9356,533.18,281.9,0.8897,552.29,287.88,0.9893,533.81,287.63,0.9881,553.62,309.11,0.9722,535.74,308.7,0.9652,547.03,331.1,0.9217,536.61,330.17,0.908
Moguls_Männer_Final_1 - 03,4,1,505.23,228.0,588.78,368.2,0.3992,540.88,250.29,0.9383,543.29,247.45,0.8727,538.09,247.45,0.8424,548.38,244.76,0.7026,533.95,244.8,0.596,555.66,255.78,0.9873,530.86,255.1,0.9785,564.72,276.21,0.9606,526.55,271.45,0.9257,561.12,292.93,0.9308,531.1,279.43,0.8954,555.34,293.51,0.9866,539.49,293.38,0.9827,552.82,330.05,0.9588,541.01,330.54,0.9489,550.26,358.49,0.8581,542.55,358.37,0.8402
Moguls_Männer_Final_1 - 03,6,1,506.59,218.73,589.98,359.68,0.4994,544.69,245.33,0.9494,548.14,241.94,0.9335,541.25,241.98,0.8816,554.09,238.99,0.7559,536.28,238.96,0.4946,560.1,246.57,0.9911,531.27,245.98,0.99,569.79,264.72,0.9706,522.75,260.77,0.9428,573.93,279.89,0.9545,523.32,269.35,0.9205,557.84,275.51,0.9947,539.77,275.59,0.9943,558.03,303.58,0.99,539.29,303.31,0.9869,567.91,330.46,0.9731,551.58,329.69,0.9664
Moguls_Männer_Final_1 - 03,7,1,509.39,216.3,594.21,360.86,0.8279,545.16,241.97,0.9548,548.71,239.14,0.9278,542.74,238.92,0.8547,554.98,236.14,0.8408,538.81,235.49,0.5748,560.52,246.93,0.9955,532.32,243.99,0.983,571.59,263.44,0.9842,523.43,254.61,0.9112,577.03,276.67,0.9619,521.97,262.26,0.8709,556.42,279.46,0.9966,539.1,278.42,0.9932,557.89,313.99,0.9928,543.18,308.69,0.9861,575.84,342.42,0.9767,564.99,333.02,0.9658
Moguls_Männer_Final_1 - 03,8,1,512.9,216.71,599.7,366.6,0.7503,547.04,244.5,0.9519,550.34,241.24,0.9243,544.0,241.26,0.8474,556.73,237.85,0.829,539.6,238.04,0.5589,562.21,249.44,0.9947,534.28,247.54,0.9785,572.42,265.98,0.9825,528.09,259.57,0.8956,578.98,279.13,0.9604,533.18,266.61,0.8608,558.99,284.3,0.9948,542.02,284.02,0.9893,563.46,320.24,0.9868,551.63,316.3,0.974,575.77,350.34,0.9525,568.31,342.02,0.9294
Moguls_Männer_Final_1 - 03,9,1,517.34,219.23,599.39,361.68,0.7341,548.24,246.21,0.9565,551.32,242.92,0.9297,544.95,242.98,0.8962,556.89,239.58,0.7238,540.55,239.54,0.5509,562.59,247.73,0.9925,535.28,247.21,0.9924,574.36,265.5,0.9735,528.49,262.07,0.9607,587.3,283.1,0.9589,533.91,270.21,0.9417,560.0,282.38,0.995,543.31,282.82,0.9951,564.0,313.59,0.9862,550.52,313.84,0.9845,569.52,341.5,0.9533,558.55,341.23,0.9486
Moguls_Männer_Final_1 - 03,10,1,520.65,224.17,598.9,360.34,0.8026,548.92,252.8,0.9334,551.9,249.69,0.9082,546.08,249.67,0.8396,557.53,246.23,0.7026,542.05,245.88,0.429,563.22,252.92,0.9895,536.53,252.1,0.9869,576.55,268.72,0.9712,528.49,264.87,0.9396,590.11,287.8,0.9556,532.02,274.56,0.9188,561.5,284.92,0.9942,545.25,285.15,0.9936,560.05,314.84,0.9862,545.78,314.94,0.982,569.9,342.52,0.9571,557.27,342.25,0.9469
