video,frame,track_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_conf,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
Moguls_Männer_Final_2_01,0,1,527.59,233.85,603.76,363.53,0.8199,565.18,253.84,0.9521,568.3,251.11,0.9055,562.76,250.62,0.8744,573.69,249.64,0.7715,558.97,248.47,0.6529,579.76,263.0,0.9926,551.52,258.08,0.9863,590.54,276.75,0.9734,537.71,264.76,0.9441,594.36,282.88,0.9484,537.6,266.36,0.9141,565.74,298.71,0.9934,548.58,295.67,0.9909,562.42,326.28,0.9783,547.55,320.55,0.972,559.82,343.88,0.9235,548.58,335.14,0.9123
Moguls_Männer_Final_2_01,1,1,531.49,230.73,600.38,347.68,0.7201,564.76,253.52,0.9167,567.55,250.75,0.868,562.3,250.17,0.8459,572.34,247.66,0.6129,558.43,245.84,0.5383,578.82,255.96,0.9879,549.81,252.31,0.9919,589.87,268.76,0.9674,537.94,261.51,0.9748,597.0,280.69,0.9547,537.94,270.83,0.96,566.25,291.08,0.9929,548.79,289.06,0.9943,562.42,312.75,0.9722,546.62,310.68,0.9744,552.74,331.44,0.9053,541.47,328.97,0.9111
Moguls_Männer_Final_2_01,2,1,525.11,230.76,603.15,363.21,0.7043,562.9,251.68,0.9391,565.84,249.17,0.8647,560.81,248.45,0.8509,570.88,247.14,0.6999,556.78,245.43,0.6396,577.39,257.39,0.9902,549.15,255.02,0.9874,590.16,269.33,0.97,535.28,265.72,0.9597,594.19,278.36,0.9472,532.63,273.32,0.9354,567.13,293.04,0.994,549.73,291.19,0.993,562.04,322.4,0.9802,544.66,319.78,0.9784,553.91,344.79,0.9263,541.16,341.52,0.9236
Moguls_Männer_Final_2_01,3,1,519.6,232.13,602.35,372.79,0.8181,562.85,253.78,0.9575,565.76,251.18,0.8931,560.38,250.54,0.9054,570.44,249.09,0.7119,555.74,247.63,0.7406,576.27,260.37,0.991,548.68,258.17,0.9918,587.2,272.82,0.9647,533.7,269.62,0.9701,590.35,280.27,0.9381,529.47,276.69,0.9463,566.19,298.06,0.9944,549.57,296.15,0.9946,559.16,331.23,0.981,545.09,328.13,0.9826,548.95,352.46,0.9295,540.86,348.56,0.9343
Moguls_Männer_Final_2_01,4,1,513.76,236.19,598.17,379.71,0.8608,560.9,259.78,0.961,563.93,257.01,0.9063,558.1,256.52,0.9113,569.64,254.84,0.7374,554.0,253.93,0.7384,575.08,266.06,0.9914,549.35,263.84,0.9922,585.4,278.88,0.9654,532.98,275.22,0.9708,588.02,286.42,0.9392,525.34,284.14,0.9475,564.91,301.82,0.9954,549.18,299.88,0.9956,559.39,336.05,0.9859,544.65,334.31,0.9874,546.1,359.33,0.9481,534.64,358.29,0.9522
Moguls_Männer_Final_2_01,5,1,514.53,242.46,590.04,369.51,0.838,560.58,264.31,0.9561,563.54,261.43,0.93,557.96,261.16,0.9167,569.22,259.22,0.721,554.42,258.38,0.651,576.79,269.3,0.9935,547.23,267.1,0.9969,583.63,284.54,0.9757,534.48,279.66,0.9868,587.77,295.89,0.9646,526.03,290.55,0.9753,565.52,304.14,0.9966,547.87,302.39,0.9977,560.13,329.18,0.9884,543.48,327.27,0.9903,550.15,351.25,0.9595,537.93,349.01,0.9647
Moguls_Männer_Final_2_01,6,1,513.47,250.27,585.88,370.71,0.8383,562.4,272.84,0.9489,565.03,270.16,0.8971,559.76,269.67,0.9188,569.52,267.81,0.5978,555.48,266.48,0.7136,575.06,276.58,0.9924,547.55,273.79,0.9977,581.69,290.33,0.9721,532.78,284.96,0.9928,585.46,301.66,0.9631,521.36,298.59,0.9853,563.05,309.88,0.9968,546.76,308.07,0.9983,560.62,333.55,0.9876,546.36,331.65,0.9921,549.1,355.91,0.9554,538.72,353.87,0.9679
Moguls_Männer_Final_2_01,7,1,521.4,255.11,588.88,367.43,0.7812,565.04,277.29,0.9401,567.44,274.51,0.8831,562.21,274.17,0.898,571.21,271.7,0.5929,556.92,270.54,0.6796,576.25,279.25,0.9904,548.98,276.46,0.9958,585.07,291.42,0.9662,535.67,283.12,0.9858,582.65,302.94,0.9555,531.86,289.54,0.9755,567.89,311.05,0.9936,551.65,309.84,0.9959,560.31,327.87,0.9744,549.47,326.84,0.9804,552.99,347.26,0.914,549.96,346.46,0.928
Moguls_Männer_Final_2_01,8,1,525.57,256.95,591.04,365.47,0.7662,567.1,277.1,0.94,569.54,274.53,0.8774,564.27,273.82,0.9026,572.8,272.12,0.5805,558.99,269.94,0.7068,578.06,279.78,0.9909,550.28,274.78,0.9963,587.19,292.94,0.9655,536.02,279.44,0.9873,583.11,299.49,0.9543,531.0,279.46,0.9776,566.73,307.46,0.9946,550.04,305.33,0.9967,567.89,325.58,0.981,556.55,323.71,0.9864,555.8,344.58,0.9389,552.55,342.52,0.9515
Moguls_Männer_Final_2_01,9,1,520.48,254.45,590.4,368.44,0.7626,569.34,272.31,0.9639,571.92,269.89,0.9183,566.86,268.83,0.9449,574.9,267.55,0.6028,561.56,264.7,0.7787,579.48,276.41,0.991,553.65,269.76,0.9975,589.43,291.12,0.9594,537.52,273.2,0.9913,582.92,297.94,0.9467,521.7,273.66,0.9822,566.49,307.42,0.9924,551.3,304.23,0.996,567.86,327.98,0.9626,555.76,324.78,0.9772,563.26,346.31,0.8646,556.92,342.78,0.9031
