video,frame,track_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_conf,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
Moguls_Männer_Final_1 - 12,0,1,677.53,249.4,756.5,422.26,0.8852,717.04,280.5,0.9769,719.37,276.67,0.9296,712.18,277.26,0.9485,725.29,271.78,0.6954,705.76,274.26,0.7799,737.82,283.38,0.9894,703.31,286.28,0.9932,749.91,293.01,0.9511,691.97,300.23,0.9739,740.54,297.68,0.9268,688.49,311.46,0.9558,734.2,333.69,0.9931,712.43,333.09,0.9945,731.27,371.0,0.983,709.7,368.78,0.9872,715.13,404.27,0.9467,696.63,401.67,0.9564
Moguls_Männer_Final_1 - 12,1,1,673.24,253.1,751.65,424.69,0.8713,713.76,281.54,0.9694,716.59,277.8,0.9231,709.18,278.22,0.9291,723.53,274.29,0.7452,704.11,276.26,0.7439,735.05,287.42,0.9904,702.98,289.75,0.9918,743.83,299.25,0.9545,691.73,306.49,0.965,731.36,300.64,0.9215,682.34,321.34,0.9365,729.57,337.94,0.9939,709.31,336.65,0.9944,723.72,375.39,0.9834,704.54,371.16,0.9856,708.77,405.73,0.9447,694.33,400.66,0.9507
Moguls_Männer_Final_1 - 12,2,1,677.0,258.88,747.06,410.87,0.8524,711.92,289.08,0.9649,714.96,285.16,0.933,708.22,285.59,0.9029,722.78,280.88,0.8178,704.69,282.72,0.6693,733.67,292.71,0.9931,702.5,296.0,0.9889,747.09,305.21,0.9727,690.84,312.58,0.95,736.54,312.44,0.95,681.21,328.92,0.9215,727.59,334.45,0.9931,709.17,334.53,0.9912,725.82,367.06,0.9755,713.18,365.47,0.9707,715.19,389.21,0.9072,711.72,386.46,0.899
Moguls_Männer_Final_1 - 12,3,1,675.1,264.12,747.07,418.7,0.7985,712.66,295.79,0.9661,716.73,292.25,0.9322,709.42,293.16,0.9035,724.38,286.91,0.7917,705.22,288.87,0.624,732.92,296.52,0.9914,702.31,300.58,0.9876,747.26,317.79,0.966,690.22,319.18,0.9434,742.26,328.09,0.9415,677.43,320.77,0.9145,729.32,336.35,0.9931,711.45,338.24,0.9917,715.5,364.72,0.9859,703.76,372.44,0.9834,718.67,386.73,0.9615,716.28,399.2,0.9578
Moguls_Männer_Final_1 - 12,4,1,672.34,266.07,751.89,436.43,0.5713,714.32,294.18,0.9596,718.93,290.97,0.9348,711.56,290.77,0.8742,727.29,288.2,0.8188,708.45,287.49,0.538,734.95,301.99,0.9902,704.27,300.42,0.9768,746.31,321.84,0.9642,689.09,312.86,0.8889,739.8,325.6,0.9333,678.29,313.16,0.8502,731.39,348.69,0.9893,712.99,348.2,0.9833,722.93,386.5,0.9761,709.97,388.82,0.964,726.91,416.4,0.9242,721.15,421.6,0.9046
Moguls_Männer_Final_1 - 12,5,1,668.67,266.19,752.33,444.41,0.7665,720.21,292.58,0.9676,723.86,289.01,0.9196,716.91,288.37,0.9317,729.61,285.72,0.7048,710.78,284.09,0.7482,736.71,300.77,0.9858,705.05,295.2,0.989,748.23,321.2,0.9413,686.78,305.15,0.9593,738.7,321.95,0.9164,673.87,308.28,0.9394,733.17,350.03,0.9881,713.97,347.74,0.9898,727.38,391.68,0.9571,713.3,391.7,0.9641,724.17,427.88,0.8347,714.98,431.31,0.8526
Moguls_Männer_Final_1 - 12,6,1,677.5,265.36,745.25,405.0,0.7411,720.18,290.5,0.9441,723.85,287.21,0.9198,717.37,286.5,0.8901,730.37,285.0,0.6984,712.81,283.13,0.5636,739.18,296.2,0.9894,705.25,291.16,0.9941,749.05,313.54,0.962,688.91,299.09,0.9748,742.5,322.41,0.946,678.52,302.53,0.9584,727.88,331.8,0.9916,707.41,329.06,0.9938,728.38,337.88,0.9757,708.55,334.83,0.9783,724.2,365.54,0.9382,713.97,361.67,0.9421
Moguls_Männer_Final_1 - 12,7,1,684.48,263.12,745.29,385.19,0.6139,723.62,290.56,0.9285,727.07,287.21,0.8789,720.51,286.7,0.8806,732.3,285.29,0.6113,715.07,283.69,0.62,739.25,296.72,0.988,704.89,293.47,0.9933,749.27,314.58,0.9526,689.0,307.36,0.9725,745.73,321.17,0.9308,687.54,315.41,0.9512,728.56,331.69,0.9906,707.31,330.18,0.9931,729.34,347.61,0.9671,709.45,345.95,0.9717,724.86,367.77,0.9069,713.7,365.6,0.9146
Moguls_Männer_Final_1 - 12,8,1,682.59,263.54,757.37,414.39,0.7353,723.95,288.36,0.9675,727.09,285.48,0.9151,720.67,285.1,0.9189,732.55,283.54,0.7292,715.1,282.79,0.7347,738.57,297.73,0.9932,706.01,293.08,0.9924,749.17,314.5,0.9713,691.39,307.72,0.9657,750.08,320.54,0.9491,693.19,325.55,0.9428,726.83,334.07,0.996,706.86,331.38,0.9956,728.12,371.14,0.9914,711.91,363.43,0.991,730.42,401.66,0.9746,717.91,390.9,0.9749
Moguls_Männer_Final_1 - 12,9,1,692.13,266.44,758.31,397.42,0.6521,721.17,291.95,0.9502,724.72,288.62,0.9199,718.14,288.25,0.9027,730.3,285.79,0.6921,713.37,284.65,0.6081,734.52,294.83,0.9923,705.44,294.37,0.9942,743.92,311.11,0.9763,697.54,313.69,0.9756,755.67,324.37,0.965,699.58,331.18,0.96,726.94,329.27,0.9948,708.84,329.1,0.9955,725.32,354.14,0.9821,706.48,353.68,0.9817,724.77,373.5,0.9414,707.52,372.77,0.9404
