video,frame,track_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_conf,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
Moguls_Männer_Final_1 - 19,0,1,553.27,279.82,642.0,392.42,0.8022,612.0,296.62,0.9649,614.31,294.55,0.8749,609.52,293.89,0.9402,617.18,295.18,0.5956,604.15,293.62,0.8313,621.27,308.52,0.9837,596.0,304.24,0.9937,632.07,321.01,0.9277,577.71,310.97,0.98,635.21,326.79,0.8941,565.97,315.78,0.9598,610.1,342.58,0.9858,594.25,340.07,0.9913,608.36,360.67,0.9544,591.63,357.7,0.9722,598.81,380.87,0.8691,583.84,379.0,0.9028
Moguls_Männer_Final_1 - 19,1,1,555.14,279.68,645.86,394.85,0.8607,613.99,296.82,0.8743,616.17,294.75,0.7717,612.24,293.95,0.8233,618.61,295.01,0.4501,607.58,292.7,0.5957,623.65,306.29,0.9858,596.69,301.37,0.995,634.37,318.84,0.9668,579.09,306.24,0.99,637.81,326.77,0.9561,569.61,308.71,0.9808,611.11,341.39,0.9952,594.5,338.96,0.9972,611.8,356.73,0.9816,592.62,354.41,0.9874,605.89,379.92,0.9402,587.98,377.63,0.9544
Moguls_Männer_Final_1 - 19,2,1,556.82,277.16,652.06,398.61,0.7946,615.09,294.21,0.8778,617.43,291.93,0.7584,613.16,291.24,0.8382,619.99,291.89,0.4055,608.12,289.77,0.636,624.04,303.22,0.9798,597.44,298.85,0.9928,635.46,314.96,0.9421,580.99,303.87,0.9838,638.29,323.35,0.927,574.56,307.22,0.9698,612.16,340.58,0.9918,596.14,338.6,0.9952,611.11,360.56,0.969,596.95,358.65,0.9792,609.07,383.29,0.9014,599.6,381.5,0.9252
Moguls_Männer_Final_1 - 19,3,1,553.73,275.88,660.72,413.89,0.4741,617.97,294.17,0.9609,620.67,291.74,0.8558,615.94,291.17,0.9413,622.5,291.28,0.5234,609.49,289.11,0.8509,624.0,302.95,0.9784,599.16,299.84,0.9932,637.4,312.98,0.906,583.15,305.61,0.9783,640.43,319.42,0.8758,578.27,312.2,0.9594,615.44,339.99,0.9864,599.63,339.61,0.9919,620.1,371.65,0.963,604.72,374.18,0.9797,617.63,398.38,0.888,603.61,404.2,0.9243
Moguls_Männer_Final_1 - 19,4,1,567.36,276.55,654.52,389.14,0.8103,620.92,294.87,0.9363,622.63,292.74,0.8531,618.82,292.11,0.9105,624.23,292.12,0.4975,612.68,290.04,0.7534,625.0,301.18,0.9871,602.29,297.38,0.9932,634.29,313.65,0.9336,586.16,306.27,0.9659,640.65,324.31,0.9003,581.71,315.9,0.9338,613.79,328.68,0.9872,599.85,327.21,0.9904,617.93,343.77,0.9505,603.22,342.48,0.9592,615.43,364.45,0.8752,604.5,363.55,0.8916
Moguls_Männer_Final_1 - 19,5,1,573.5,279.27,653.18,382.55,0.6142,622.29,297.86,0.9115,623.93,295.79,0.7914,620.33,295.27,0.9027,625.82,295.74,0.401,614.85,293.87,0.7852,627.67,305.71,0.9818,604.18,302.6,0.994,636.77,318.63,0.912,587.93,313.71,0.9801,643.41,326.88,0.8748,587.11,323.92,0.9551,617.92,336.37,0.9848,602.8,335.11,0.9916,620.78,352.98,0.9218,600.78,351.97,0.9514,616.0,372.39,0.8067,595.47,371.91,0.8591
Moguls_Männer_Final_1 - 19,6,1,577.7,285.78,653.84,385.18,0.6783,622.61,303.96,0.9105,624.3,301.9,0.7577,620.84,301.37,0.8977,625.93,302.02,0.3608,615.22,300.14,0.7954,626.96,311.87,0.9859,603.92,309.46,0.996,635.91,323.65,0.9432,590.73,321.82,0.9895,641.4,327.36,0.928,591.75,331.64,0.9773,617.42,342.61,0.9914,602.85,341.7,0.9956,618.26,361.03,0.96,602.25,360.24,0.9769,620.66,376.66,0.8793,606.26,376.45,0.9169
Moguls_Männer_Final_1 - 19,7,1,572.1,291.53,661.67,411.04,0.7818,622.14,309.61,0.8226,623.44,307.29,0.562,620.01,306.81,0.8114,624.55,307.41,0.1944,613.56,305.63,0.7032,625.65,317.86,0.9672,602.55,315.94,0.9907,633.9,329.46,0.9188,588.98,326.5,0.9863,641.84,334.97,0.9071,592.8,329.7,0.9738,622.45,358.34,0.9914,606.68,358.53,0.9956,631.01,386.01,0.9663,609.75,386.59,0.9815,630.43,407.71,0.8871,601.2,408.87,0.9258
Moguls_Männer_Final_1 - 19,8,1,571.42,295.39,665.42,423.14,0.7897,619.8,312.36,0.868,621.4,310.38,0.6495,618.25,309.75,0.8521,622.79,311.28,0.2597,612.7,309.33,0.7417,623.06,320.95,0.9786,601.49,320.34,0.9936,632.68,329.22,0.938,589.04,332.24,0.9879,636.18,327.29,0.9254,593.14,337.43,0.9756,620.07,358.33,0.9935,604.39,359.01,0.9965,631.74,384.41,0.9754,605.49,385.3,0.9856,638.02,406.8,0.9217,600.47,408.31,0.9463
Moguls_Männer_Final_1 - 19,9,1,577.02,295.62,660.22,408.33,0.6877,617.75,306.34,0.0499,616.4,303.83,0.0183,617.97,304.33,0.048,608.81,303.7,0.3964,619.54,304.86,0.7557,598.35,314.31,0.9754,622.1,314.39,0.9925,585.05,328.99,0.9199,636.44,320.91,0.9853,583.94,341.29,0.8032,647.48,318.15,0.929,597.49,348.27,0.9919,612.01,348.71,0.9958,596.07,367.64,0.9382,612.42,368.42,0.9638,595.77,383.85,0.7915,610.62,385.84,0.8511
