file,R,S,M,Y,C,L,MES_60,n_frames,duration_s
Moguls_Männer_Final_1_07_HD_poses.csv,0.8067996146771729,0.5881406960495139,0.906545683770796,0.9377526273241726,0.40899283569104605,0.6,42.48231457512701,61,2.4
Moguls_Frauen_Final_2_09_HD_poses.csv,0.8935004459659488,0.6533593960010704,0.878973351625348,0.9418007531667181,0.18288216104670574,0.638095238095238,41.88611345901029,106,4.2
Moguls_Frauen_Final_2_04_HD_poses.csv,0.827433321170533,0.47305711798465533,0.8677485902198421,0.9620474680083145,0.39841991669141563,0.607843137254902,41.36549551329662,205,8.2
Moguls_Frauen_Final_2_08_HD_poses.csv,0.8900310304888855,0.569295402839866,0.8804665395748357,0.7757685352621981,0.3934625120255164,0.6198347107438016,41.28858730935104,122,4.9
Moguls_Männer_Final_1_06_HD_poses.csv,0.621660871878458,0.6926251631499296,0.8710113562352908,0.8632768361581988,0.3347789928457899,0.7327586206896552,41.16111840957323,117,4.7
Moguls_Männer_Final_1_01_HD_poses.csv,0.6559895419231092,0.6785236920805096,0.9054850193801548,0.9996538594669478,0.32903062744757816,0.515625,40.843077402983,65,2.6
Moguls_Frauen_Final_1_09_HD_poses.csv,0.8077294088861997,0.608256838018491,0.8991728827428991,0.97513543547715,0.16210482416783173,0.6142857142857143,40.66685103578286,351,14.0
Moguls_Männer_Final_2_08_HD_poses.csv,0.7273636795101746,0.4670496450591791,0.8873170566977068,0.9077199281867128,0.4311370518923811,0.6428571428571428,40.63444504203297,127,5.1
Moguls_Frauen_Final_2_01_HD_poses.csv,0.7012193804541287,0.6165721397718428,0.8875224202323015,0.8914837930340223,0.3661628918661386,0.6,40.62960625358433,146,5.8
Moguls_Frauen_Final_1_18_HD_poses.csv,0.883690301830774,0.5342702232634521,0.8819549193296777,0.960016319869431,0.2101578760877713,0.5786516853932584,40.48741325774365,179,7.2
Moguls_Frauen_Final_2_07_HD_poses.csv,0.8498028908479489,0.5085560305601331,0.8693157896990364,0.9141718460881534,0.30904745451126575,0.5913043478260869,40.42198359532624,116,4.6
Moguls_Männer_Final_1_02_HD_poses.csv,0.7632894590270548,0.5670269666830801,0.8889232755634373,0.755322744170324,0.44981578230472163,0.6145833333333333,40.38961561081951,97,3.9
Moguls_Frauen_Final_1_04_HD_poses.csv,0.6967397833497277,0.5224004051882318,0.8610891474275324,0.9557390936044163,0.41188835752201003,0.5904761904761905,40.38332977568109,106,4.2
Moguls_Männer_Final_2_01_HD_poses.csv,0.6629833135977088,0.6479428024545327,0.9055969883328467,0.8021558193478,0.31770741879442216,0.7010309278350515,40.374172703623614,98,3.9
Moguls_Frauen_Final_1_06_HD_poses.csv,0.8691077579168996,0.600838373842796,0.8660988062580641,0.8675732770002687,0.19889388759593638,0.627906976744186,40.304190793581505,130,5.2
Moguls_Frauen_Final_1_12_HD_poses.csv,0.8090991129196969,0.5627698599122964,0.8456491573909051,0.9416368895695146,0.30177229253665727,0.5471698113207547,40.08097123649825,107,4.3
Moguls_Männer_Final_2_07_HD_poses.csv,0.8823122117105374,0.6964114512168611,0.9127175537475154,0.5811584977721252,0.32523019568787265,0.6046511627906976,40.02481072925609,87,3.5
Moguls_Frauen_Final_1_11_HD_poses.csv,0.8235054968941764,0.4282915689387642,0.8946479387053429,0.9609018949388317,0.22957349496563695,0.6363636363636364,39.732840308063885,89,3.6
Moguls_Frauen_Final_2_11_HD_poses.csv,0.6780652623455463,0.5223053488624385,0.9170639395812181,0.9674911076184919,0.2195024656542836,0.6582914572864322,39.6271958134841,200,8.0
Moguls_Männer_Final_1_12_HD_poses.csv,0.45798242870869266,0.5766906427817715,0.8875857909914378,0.8490870032223349,0.48274016352333493,0.6857142857142857,39.39800314941857,176,7.0
